Provinsi/Kabupaten/Kota/Indonesia,,
,Persentase penduduk usia 25 Tahun keatas dengan pendidikan SMA ke atas menurut jenis kelamin (Persen),
,Laki-laki,Perempuan
,2024,2024
ACEH,50.14,45.09
Simeulue,52.74,43.2
Aceh Singkil,45.09,38.24
Aceh Selatan,41.22,34.32
Aceh Tenggara,54.59,45.3
Aceh Timur,37.1,31.22
Aceh Tengah,50.83,49.92
Aceh Barat,57.25,46.71
Aceh Besar,55.31,53.95
Pidie,45.3,38.98
Bireuen,44.98,41.35
Aceh Utara,43.38,39.79
Aceh Barat Daya,42.62,38.93
Gayo Lues,40.39,32.56
Aceh Tamiang,49.64,44.74
Nagan Raya,45.71,43.38
Aceh Jaya,42.02,33.82
Bener Meriah,45.13,43.61
Pidie Jaya,42.98,42.02
Kota Banda Aceh,84.01,79.69
Kota Sabang,65.37,60.81
Kota Langsa,71.98,65.22
Kota Lhokseumawe,67.36,64.12
Kota Subulussalam,44.97,34.87
SUMATERA UTARA,56.04,52.3
Nias,39.66,23.93
Mandailing Natal,45.44,40.12
Tapanuli Selatan,50.62,41.84
Tapanuli Tengah,44.64,43.01
Tapanuli Utara,60.47,53.01
Toba Samosir / Toba,64.68,59.37
Labuhan Batu,50.44,44.42
Asahan,45.57,40.01
Simalungun,56.1,51.18
Dairi,50.75,51.49
Karo,55.27,59.64
Deli Serdang,60.54,58.77
Langkat,42.38,37.39
Nias Selatan,37.64,24.91
Humbang Hasundutan,55.3,54.49
Pakpak Bharat,51.38,46.99
Samosir,55.95,49.88
Serdang Bedagai,48.31,46.15
Batu Bara,42.03,38.94
Padang Lawas Utara,53.19,48.07
Padang Lawas,46.29,42.24
Labuhan Batu Selatan,46.3,45.49
Labuhan Batu Utara,44.36,41.8
Nias Utara,41.42,21.28
Nias Barat,44.86,27.8
Kota Sibolga,53.28,56.95
Kota Tanjung Balai,46.25,49.73
Kota Pematang Siantar,76.04,72.6
Kota Tebing Tinggi,61.02,63.03
Kota Medan,75.03,70.99
Kota Binjai,70.35,65.63
Kota Padangsidimpuan,63.88,62.09
Kota Gunungsitoli,53.16,39.92
SUMATERA BARAT,47.61,49.83
Kepulauan Mentawai,43.88,32.75
Pesisir Selatan,39.43,48.64
Solok,32.34,39.4
Sijunjung,35.98,40.94
Tanah Datar,46.47,47.86
Padang Pariaman,40.46,40.43
Agam,45.3,45.41
Lima Puluh Kota,35.2,36.44
Pasaman,33.56,35.09
Solok Selatan,39.17,41.72
Dharmasraya,39.75,45.63
Pasaman Barat,44.28,42.25
Kota Padang,70.16,71.9
Kota Solok,65.78,66.8
Kota Sawah Lunto,61.21,60.05
Kota Padang Panjang,71.45,75.49
Kota Bukittinggi,67.97,72.57
Kota Payakumbuh,61.63,63.98
Kota Pariaman,63.23,64.05
RIAU,47.02,43.46
Kuantan Singingi,43.59,39.77
Indragiri Hulu,34.42,33.98
Indragiri Hilir,24.71,25.76
Pelalawan,43.99,39.53
Siak,53.21,46.16
Kampar,47.97,41.94
Rokan Hulu,38.12,33.97
Bengkalis,51.1,44.18
Rokan Hilir,40.83,35.05
Kepulauan Meranti,33.07,29.09
Kota Pekanbaru,71.64,71.76
Kota Dumai,58.57,50.77
JAMBI,42.75,35.98
Kerinci,46.43,31.57
Merangin,36.41,26.8
Sarolangun,37.56,31.93
Batang Hari,36.99,31.06
Muaro Jambi,36.69,31.6
Tanjung Jabung Timur,29.57,27.13
Tanjung Jabung Barat,34.05,25.27
Tebo,33.15,28.3
Bungo,39.47,29.66
Kota Jambi,72.09,66.5
Kota Sungai Penuh,68.29,56.44
SUMATERA SELATAN,40.76,36.22
Ogan Komering Ulu,43.28,37.11
Ogan Komering Ilir,24.08,18.69
Muara Enim,41.32,30.66
Lahat,42.96,42.34
Musi Rawas,25.25,24.49
Musi Banyuasin,32.59,27.56
Banyu Asin,27.26,24.84
Ogan Komering Ulu Selatan,36.11,28.48
Ogan Komering Ulu Timur,33.38,27.31
Ogan Ilir,32.52,26.19
Empat Lawang,28.6,27.68
Penukal Abab Lematang Ilir,33.62,23.09
Musi Rawas Utara,33,21.42
Kota Palembang,67.4,64.03
Kota Prabumulih,60,54.58
Kota Pagar Alam,46.78,46.37
Kota Lubuklinggau,49.78,44.38
BENGKULU,45.67,40.34
Bengkulu Selatan,45.38,43.86
Rejang Lebong,38.29,35.46
Bengkulu Utara,38.52,34.33
Kaur,46.47,33.51
Seluma,38.91,30.69
Mukomuko,37.36,28.64
Lebong,42.57,34.23
Kepahiang,36.4,29.95
Bengkulu Tengah,44.11,29.79
Kota Bengkulu,71.63,70.55
LAMPUNG,37.27,32.21
Lampung Barat,37.47,32.49
Tanggamus,28.75,20.16
Lampung Selatan,32.83,26.93
Lampung Timur,38.35,29.78
Lampung Tengah,33.79,27.78
Lampung Utara,32.49,28.25
Way Kanan,28.86,23.56
Tulangbawang,28.67,23.26
Pesawaran,32.88,26.96
Pringsewu,33.54,32.57
Mesuji,23.27,19.8
Tulang Bawang Barat,29.35,26.55
Pesisir Barat,35.64,29.37
Kota Bandar Lampung,63.55,61.93
Kota Metro,64.59,62.65
KEP. BANGKA BELITUNG,41.51,38.05
Bangka,45.31,38.45
Belitung,46.37,43.69
Bangka Barat,32.59,30.94
Bangka Tengah,24.45,24.93
Bangka Selatan,27.7,25.24
