Provinsi/Kabupaten/Kota/Indonesia,,
,Persentase penduduk usia 25 Tahun keatas dengan pendidikan SMA ke atas menurut jenis kelamin (Persen),
Belitung Timur,42.69,42.2
Kota Pangkal Pinang,69.97,59.75
KEPULAUAN RIAU,61.6,58.65
Karimun,40.46,35.99
Bintan,46.13,47.32
Natuna,45.28,42.36
Lingga,28.55,27.09
Kepulauan Anambas,38.08,36.77
Kota Batam,70.54,67.09
Kota Tanjung Pinang,57.5,57.12
DKI JAKARTA,74.23,64.32
Kep. Seribu,52.21,39.95
Kota Jakarta Selatan,79.61,70.4
Kota Jakarta Timur,79.79,70.53
Kota Jakarta Pusat,75.69,70.61
Kota Jakarta Barat,69.1,57.37
Kota Jakarta Utara,65.31,53.52
JAWA BARAT,42.04,34.71
Bogor,39.65,28.67
Sukabumi,21.02,12.55
Cianjur,19.88,14.17
Bandung,40.67,37.57
Garut,29.25,20.72
Tasikmalaya,22.93,20.23
Ciamis,25.41,20.78
Kuningan,26.42,20.52
Cirebon,33.76,24.49
Majalengka,25.99,18.4
Sumedang,30.94,27.03
Indramayu,27.5,21.8
Subang,28.4,23.29
Purwakarta,33.8,26.65
Karawang,36.82,28.92
Bekasi,59.75,49.11
Bandung Barat,31.57,22.1
Pangandaran,26.07,21.09
Kota Bogor,61.74,50.75
Kota Sukabumi,56.69,47.49
Kota Bandung,63.51,58.3
Kota Cirebon,61.88,54.37
Kota Bekasi,76.82,71.36
Kota Depok,74.86,66.26
Kota Cimahi,70.05,62.73
Kota Tasikmalaya,43.71,39.44
Kota Banjar,38.66,31.76
JAWA TENGAH,35.72,29.61
Cilacap,28.66,22.95
Banyumas,34.4,29.52
Purbalingga,25.96,20.96
Banjarnegara,21.53,14.57
Kebumen,31.51,26.1
Purworejo,45.68,34.86
Wonosobo,17.7,14.93
Magelang,32.64,26.18
Boyolali,39.94,29.51
Klaten,55.07,45.14
Sukoharjo,54.81,52.74
Wonogiri,32.23,27.29
Karanganyar,48.93,38.7
Sragen,37.66,29.14
Grobogan,22.63,16.03
Blora,28.59,25.29
Rembang,29.05,22.44
Pati,35.07,28.67
Kudus,44.95,39.49
Jepara,34.34,26.86
Demak,35.61,26.76
Semarang,39.05,32.42
Temanggung,25.11,21.81
Kendal,32.89,28.08
Batang,22.94,16.88
Pekalongan,27.4,22.37
Pemalang,19.99,16.98
Tegal,31.43,22.38
Brebes,22.15,14.26
Kota Magelang,72.68,67.28
Kota Surakarta,70.53,64.82
Kota Salatiga,72.65,65.34
Kota Semarang,66.99,63.95
Kota Pekalongan,45.95,41.31
Kota Tegal,53.24,47.35
D I YOGYAKARTA,53.72,48.98
Kulon Progo,47.85,42.8
Bantul,51.24,50.82
Gunung Kidul,24.88,21.56
Sleman,70.37,62.4
Kota Yogyakarta,72.56,68.77
JAWA TIMUR,39.84,32.24
Pacitan,26.31,20.81
Ponorogo,33.43,29.4
Trenggalek,28.67,24.43
Tulungagung,37.15,32.65
Blitar,30.51,27.57
Kediri,37.96,33.2
Malang,31.41,23.72
Lumajang,23.61,17.85
Jember,26.95,20.93
Banyuwangi,35.85,29.28
Bondowoso,27.56,17.81
Situbondo,34.03,22.29
Probolinggo,23.84,15.03
Pasuruan,32.38,21.98
Sidoarjo,70.4,64.66
Mojokerto,43.39,38.19
Jombang,44.87,35.11
Nganjuk,36.94,29.35
Madiun,38.58,29.32
Magetan,39.86,34.13
Ngawi,35.41,30.72
Bojonegoro,31.63,23.15
Tuban,33.11,23.43
Lamongan,38.89,31.02
Gresik,57.24,45.53
Bangkalan,17.77,11.63
Sampang,16.59,6.72
Pamekasan,33.63,22.17
Sumenep,30.96,19.15
Kota Kediri,66.22,55.85
Kota Blitar,61.6,56.61
Kota Malang,66.28,62.93
Kota Probolinggo,59,48.77
Kota Pasuruan,54.92,47.5
Kota Mojokerto,69.05,67.65
Kota Madiun,77.86,71.3
Kota Surabaya,70.27,62.81
Kota Batu,47.43,44.8
BANTEN,47.2,38.34
Pandeglang,15.83,13.91
Lebak,13.53,6.68
Tangerang,48.59,33.83
Serang,28.52,23.41
Kota Tangerang,70.54,61.01
Kota Cilegon,60.7,49.51
Kota Serang,37.56,31.55
Kota Tangerang Selatan,71.04,66.12
BALI,54.45,43.51
Jembrana,45.01,34.36
Tabanan,53.41,40.15
Badung,70.63,61.87
Gianyar,60.73,47.97
Klungkung,52.8,37.24
Bangli,34.43,27.15
Karangasem,29.36,18.18
Buleleng,34.28,22.74
Kota Denpasar,70.3,62.81
NUSA TENGGARA BARAT,39.22,29.45
Lombok Barat,32.28,20.01
Lombok Tengah,32.48,20.44
Lombok Timur,31.59,26.3
Sumbawa,40.6,33.54
Dompu,51.27,40.1
Bima,45.89,39.99
Sumbawa Barat,47.53,37.36
Lombok Utara,28.4,18.04
Kota Mataram,56.77,41.84
Kota Bima,67.36,60.96
NUSA TENGGARA TIMUR,32.31,29.75
Sumba Barat,32.04,31.28
Sumba Timur,33.57,31.28
Kupang,27.4,24.69
Timor Tengah Selatan,25.75,24.59
Timor Tengah Utara,26.95,29.28
Belu,28.68,27.32
Alor,37.6,34.07
Lembata,39.42,27.23
Flores Timur,32.97,25.62
Sikka,27.58,26.74
Ende,35.76,34.78
Ngada,32.52,29.97
Manggarai,32.69,26.39
Rote Ndao,31.72,24.79
Manggarai Barat,29.6,27.63
Sumba Tengah,30.6,25.84
Sumba Barat Daya,23.99,24.38
Nagekeo,30.12,28.24
Manggarai Timur,24.09,24.78
Sabu Raijua,24.02,24.52
Malaka,21.74,27.61
Kota Kupang,62.92,56.84
KALIMANTAN BARAT,35.55,30.77
Sambas,21.8,20.51
Bengkayang,35.47,34.46
Landak,35.45,30.95
Mempawah,30.77,27.17
Sanggau,32.33,25.59
Ketapang,26.59,23.5
Sintang,34.19,28.8
Kapuas Hulu,37.9,31.19
Sekadau,31.98,22.76
Melawi,35.95,27.71
Kayong Utara,32.19,24.7
Kubu Raya,30.36,25.97
Kota Pontianak,62.76,55.74
Kota Singkawang,40.08,36.27
KALIMANTAN TENGAH,35.13,30.3
Kotawaringin Barat,36.81,33.45
Kotawaringin Timur,27.91,21.62
Kapuas,27.1,21.73
Barito Selatan,41.73,32.38
Barito Utara,30.23,27.24
Sukamara,28.61,24.33
Lamandau,35.36,32.09
Seruyan,27.75,21.69
Katingan,30.98,30.9
Pulang Pisau,32.1,24.55
Gunung Mas,36.16,36.57
Barito Timur,42.7,37.25
Murung Raya,28.84,24.3
Kota Palangka Raya,63.41,57.02
KALIMANTAN SELATAN,39.43,32.42
Tanah Laut,32.52,24.47
Kotabaru,28.11,21.1
Banjar,31.41,23.37
Barito Kuala,31.7,25.15
Tapin,36.19,23.09
Hulu Sungai Selatan,33.37,30.8
Hulu Sungai Tengah,34.68,28.92
Hulu Sungai Utara,30.91,25.77
Tabalong,43.26,35.94
Tanah Bumbu,36.68,28.81
Balangan,39.96,26.89
Kota Banjarmasin,57.02,50.32
Kota Banjar Baru,62.65,58.51
KALIMANTAN TIMUR,56.32,50.23
Paser,41.47,35.93
Kutai Barat,43.76,37.34
Kutai Kartanegara,46.22,37.18
Kutai Timur,47.17,42.89
Berau,46.6,42.86
Penajam Paser Utara,39.08,38.85
Mahakam Ulu,37.24,35.52
Kota Balikpapan,70.4,61.47
Kota Samarinda,72.43,65.31
Kota Bontang,68.2,63.77
KALIMANTAN UTARA,46.15,40.6
Malinau,52.26,44.13
Bulungan,47.92,39.88
Tana Tidung,46.44,40.59
Nunukan,34.21,31.47
Kota Tarakan,52.78,47.13
SULAWESI UTARA,48.18,50.82
Bolaang Mongondow,28.74,30.7
Minahasa,53.78,57.37
Kepulauan Sangihe,38.77,40.56
Kepulauan Talaud,48.37,49.17
Minahasa Selatan,43.7,47.15
Minahasa Utara,59.43,55.79
Bolaang Mongondow Utara,27.28,35.67
Siau Tagulandang Biaro,41.52,46.99
Minahasa Tenggara,34.47,37.14
Bolaang Mongondow Selatan,25.86,30.59
Bolaang Mongondow Timur,31.06,32.92
Kota Manado,65.26,68.94
Kota Bitung,50.22,50.8
Kota Tomohon,62.26,61.82
Kota Kotamobagu,49.88,52.24
SULAWESI TENGAH,37.44,35.09
Banggai Kepulauan,32.84,30.77
Banggai,34,31.88
Morowali,41.52,29.72
Poso,40.55,40.75
Donggala,26.06,24.93
Toli-Toli,39.29,33.19
Buol,37.86,36.7
Parigi Moutong,29.48,28.13
Tojo Una-Una,26.08,30.95
Sigi,34.92,33.01
Banggai Laut,32.01,26.6
Morowali Utara,37.18,33.42
Kota Palu,64.32,59.39
SULAWESI SELATAN,44.38,40.98
Kepulauan Selayar,43.35,38.61
Bulukumba,40.12,38.64
Bantaeng,34.18,29.42
Jeneponto,28.63,26.18
Takalar,39.95,33.09
Gowa,41.04,41.05
Sinjai,29.46,32.15
Maros,44.42,31.55
Pangkajene dan Kepulauan,39.17,35.25
Barru,41.66,40.63
Bone,28.76,27.04
Soppeng,36.88,36.3
Wajo,30.12,26.06
Sidenreng Rappang,36.4,34.05
Pinrang,42.03,35.14
Enrekang,48.73,41.67
Luwu,44,41.03
Tana Toraja,48.74,40.44
Luwu Utara,37.6,32.59
Luwu Timur,43.12,41.34
Toraja Utara,44.56,43.19
Kota Makasar,68.46,67.19
Kota Parepare,63.65,60.69
Kota Palopo,66.48,62.82
SULAWESI TENGGARA,42.31,37.4
Buton,44.57,31.23
Muna,37.48,33.67
Konawe,44.22,35.21
Kolaka,39.12,34.64
Konawe Selatan,38.76,28.67
Bombana,31.31,29.65
Wakatobi,33.63,29.75
Kolaka Utara,36.19,35
Buton Utara,38.73,35.47
Konawe Utara,41.4,33.92
Kolaka Timur,31.21,29.13
Konawe Kepulauan,45.29,30.16
Muna Barat,34.81,30.04
Buton Tengah,27.1,20.94
Buton Selatan,27.45,20.77
Kota Kendari,63.6,65.29
Kota Baubau,57.76,53.68
GORONTALO,31.41,36.1
Boalemo,24.81,30.21
Gorontalo,28.8,34.12
Pohuwato,27.99,29.07
Bone Bolango,28.62,36.85
Gorontalo Utara,24.88,25.13
Kota Gorontalo,48.92,53.37
SULAWESI BARAT,39.43,35.97
Majene,45.6,45.07
Polewali Mandar,37.17,32.12
Mamasa,40.04,40.16
Mamuju,42.59,36.57
Mamuju Utara / Pasangkayu,34.21,34.29
Mamuju Tengah,38.87,33.11
MALUKU,52.41,50.58
Maluku Tenggara Barat / Kepulauan Tanimbar,48.96,40.27
Maluku Tenggara,47.54,45.7
Maluku Tengah,47.04,47.58
Buru,39.48,37.23
Kepulauan Aru,38.74,37.88
Seram Bagian Barat,46.16,43.55
Seram Bagian Timur,38.06,31.17
Maluku Barat Daya,36.25,32.34
Buru Selatan,44.21,36.15
Kota Ambon,72.53,72.83
Kota Tual,55.82,47.22
MALUKU UTARA,44.06,38.33
Halmahera Barat,35.98,31.49
Halmahera Tengah,41.61,34.37
Kepulauan Sula,41.21,37.04
Halmahera Selatan,33.72,25.52
Halmahera Utara,36.22,33.71
Halmahera Timur,43.41,30.52
Pulau Morotai,29.39,27.64
Pulau Taliabu,25.82,22.49
Kota Ternate,71.02,64.48
Kota Tidore Kepulauan,51.81,44.64
PAPUA BARAT,53.55,43.78
Fakfak,57.52,56.88
Kaimana,51.75,49.34
Teluk Wondama,46.82,37.1
Teluk Bintuni,57.16,45.44
Manokwari,53.4,41.36
Sorong Selatan,-,-
Sorong,-,-
Raja Ampat,-,-
Tambrauw,-,-
Maybrat,-,-
Manokwari Selatan,57.51,42.17
Pegunungan Arfak,44.05,20.7
Kota Sorong,-,-
PAPUA BARAT DAYA,60.86,54.65
Raja Ampat,39,32.66
Sorong,48.74,39.7
Sorong Selatan,42.37,29.76
Maybrat,55.22,46.84
Tambrauw,54.19,39.73
Kota Sorong,72.99,69.16
PAPUA,64.17,55.75
Merauke,-,-
Jayawijaya,-,-
Jayapura,65.3,54.58
Nabire,-,-
Kepulauan Yapen,57.13,43.82
Biak Numfor,59.03,51.44
Paniai,-,-
Puncak Jaya,-,-
Mimika,-,-
Boven Digoel,-,-
Mappi,-,-
Asmat,-,-
Yahukimo,-,-
Pegunungan Bintang,-,-
Tolikara,-,-
Sarmi,53.96,53.41
Keerom,41.24,36.35
Waropen,46.44,36.41
Supiori,43.63,35.58
Mamberamo Raya,33.87,24.74
Nduga,-,-
Lanny Jaya,-,-
Mamberamo Tengah,-,-
Yalimo,-,-
Puncak,-,-
Dogiyai,-,-
Intan Jaya,-,-
Deiyai,-,-
Kota Jayapura,78.94,71.81
PAPUA SELATAN,51.53,41.4
Merauke,58.8,49.71
Boven Digoel,65.71,54.08
Mappi,36.79,25.57
Asmat,32.67,23.34
PAPUA TENGAH,33.14,26.5
Mimika,70.99,62.76
Dogiyai,14.58,9.94
Deiyai,17.25,3.56
Nabire,60.55,55.43
Paniai,17.7,11.33
Intan Jaya,16.96,7.32
Puncak,1.14,1.44
Puncak Jaya,19.05,16.12
PAPUA PEGUNUNGAN,24.45,15.48
Nduga,14.07,12.85
Jayawijaya,38.34,28.36
Lanny Jaya,29.49,16.52
Tolikara,17.8,7.94
Mamberamo Tengah,29.78,18.98
Yalimo,28.24,26.04
Yahukimo,13.27,5.6
Pegunungan Bintang,23.42,9.06
INDONESIA,43.78,37.64
