Provinsi/Kabupaten/Kota/Indonesia,,
,Persentase penduduk usia 25 Tahun keatas dengan pendidikan SMA ke atas menurut jenis kelamin (Persen),
,Laki-laki,Perempuan
,2022,2022
ACEH,47.72,42.91
Simeulue,50.98,40.43
Aceh Singkil,38.35,37.36
Aceh Selatan,37.46,29.16
Aceh Tenggara,55.48,46.46
Aceh Timur,32.2,29.14
Aceh Tengah,48.69,45.77
Aceh Barat,51.27,45.53
Aceh Besar,52.08,53.95
Pidie,42.41,38.14
Bireuen,42.45,39.33
Aceh Utara,40.98,33.93
Aceh Barat Daya,38.21,37.18
Gayo Lues,41.4,30.51
Aceh Tamiang,47.09,43.19
Nagan Raya,47.51,39.15
Aceh Jaya,37.06,32.95
Bener Meriah,46.15,45.13
Pidie Jaya,52.54,39.24
Kota Banda Aceh,83.85,78.21
Kota Sabang,61.73,59.12
Kota Langsa,67.36,61.46
Kota Lhokseumawe,61.77,59.03
Kota Subulussalam,38.36,32.91
SUMATERA UTARA,54.36,49.82
Nias,41.78,24.45
Mandailing Natal,42.59,35.28
Tapanuli Selatan,49.31,42.31
Tapanuli Tengah,46.31,43.07
Tapanuli Utara,58.58,56.15
Toba Samosir / Toba,65.17,62.11
Labuhan Batu,48.36,41.53
Asahan,40.18,35.48
Simalungun,54.05,50.04
Dairi,51.63,53.84
Karo,53.28,55.68
Deli Serdang,62.22,56.07
Langkat,40.58,35.33
Nias Selatan,34.51,23.64
Humbang Hasundutan,57.9,57.64
Pakpak Bharat,51.56,52
Samosir,56.46,49
Serdang Bedagai,42.29,39.36
Batu Bara,40.09,37.75
Padang Lawas Utara,47.83,40.04
Padang Lawas,44.2,39.83
Labuhan Batu Selatan,42.61,38.95
Labuhan Batu Utara,45.06,38.77
Nias Utara,35.48,20.86
Nias Barat,44.52,25.81
Kota Sibolga,57.96,58.45
Kota Tanjung Balai,44.37,52.37
Kota Pematang Siantar,77.28,71.98
Kota Tebing Tinggi,65.16,62.25
Kota Medan,70.76,66.8
Kota Binjai,73.78,63.83
Kota Padangsidimpuan,65.16,62.02
Kota Gunungsitoli,50.57,37.52
SUMATERA BARAT,45.32,48.52
Kepulauan Mentawai,38.77,29.57
Pesisir Selatan,39.41,43.73
Solok,26.11,35.13
Sijunjung,34.4,39.29
Tanah Datar,41.43,45.02
Padang Pariaman,39.57,40.74
Agam,41.97,46.32
Lima Puluh Kota,34.07,37.66
Pasaman,33.96,32.53
Solok Selatan,38.57,38.28
Dharmasraya,36.02,41.67
Pasaman Barat,40.39,43.04
Kota Padang,68.54,69.99
Kota Solok,66.98,67.03
Kota Sawah Lunto,58.81,54.8
Kota Padang Panjang,69.34,77.34
Kota Bukittinggi,64.98,73.97
Kota Payakumbuh,56.85,60.68
Kota Pariaman,59.93,60.98
