Provinsi/Kabupaten/Kota/Indonesia,,
,Persentase penduduk usia 25 Tahun keatas dengan pendidikan SMA ke atas menurut jenis kelamin (Persen),
RIAU,45.76,43.24
Kuantan Singingi,40.89,37.19
Indragiri Hulu,34.97,33.92
Indragiri Hilir,24.35,23.74
Pelalawan,44.24,39.41
Siak,49.85,48.7
Kampar,45.22,40.67
Rokan Hulu,37.87,33.54
Bengkalis,51.14,43.3
Rokan Hilir,38.97,33.51
Kepulauan Meranti,33.95,32.18
Kota Pekanbaru,70.89,71.62
Kota Dumai,54.68,53.01
JAMBI,40.53,35.28
Kerinci,41.17,31.69
Merangin,32.19,25.28
Sarolangun,34.61,30.11
Batang Hari,34.82,33.5
Muaro Jambi,34.71,31.07
Tanjung Jabung Timur,31.04,27.62
Tanjung Jabung Barat,33.55,29.41
Tebo,30.78,28.05
Bungo,36.5,29.43
Kota Jambi,68.76,60.11
Kota Sungai Penuh,57.63,51.19
SUMATERA SELATAN,38.77,35.75
Ogan Komering Ulu,43.51,39.31
Ogan Komering Ilir,23.13,19.65
Muara Enim,39.06,29.66
Lahat,41.55,35.93
Musi Rawas,26.13,27.83
Musi Banyuasin,26.64,26.62
Banyu Asin,28.52,24.59
Ogan Komering Ulu Selatan,26.54,24.23
Ogan Komering Ulu Timur,28.21,28.96
Ogan Ilir,32.63,24.27
Empat Lawang,26.2,26.84
Penukal Abab Lematang Ilir,36.55,28.63
Musi Rawas Utara,29.38,20.68
Kota Palembang,66.27,62.46
Kota Prabumulih,61.62,57.42
Kota Pagar Alam,44.25,42.95
Kota Lubuklinggau,47.47,41.5
BENGKULU,42.62,38.72
Bengkulu Selatan,47.88,43.73
Rejang Lebong,36.8,33.86
Bengkulu Utara,34.87,30.59
Kaur,39.3,29.39
Seluma,36.4,30.37
Mukomuko,32.65,27.94
Lebong,36.89,32.46
Kepahiang,36.81,32.44
Bengkulu Tengah,35.86,26.35
Kota Bengkulu,67.45,67.76
LAMPUNG,34.88,30.44
Lampung Barat,31.87,31.53
Tanggamus,23.4,21.09
Lampung Selatan,31.03,27.19
Lampung Timur,33.47,26.6
Lampung Tengah,30,25.66
Lampung Utara,31.88,25.19
Way Kanan,27.26,21.32
Tulangbawang,28.5,22.57
Pesawaran,29.71,23.15
Pringsewu,32.94,29.9
Mesuji,20.94,19.96
Tulang Bawang Barat,28.86,26.87
Pesisir Barat,35.17,30.49
Kota Bandar Lampung,62.77,57.96
Kota Metro,63.3,58.82
KEP. BANGKA BELITUNG,40.76,36.08
Bangka,41.45,38.06
Belitung,43.31,41.21
Bangka Barat,35.33,31.8
Bangka Tengah,27.43,21.42
Bangka Selatan,29.33,23.54
Belitung Timur,42.6,38.51
Kota Pangkal Pinang,64.88,55.24
KEPULAUAN RIAU,60.73,58.4
Karimun,40.54,39.63
Bintan,45.5,48.69
Natuna,46.84,39.97
Lingga,30,29.25
Kepulauan Anambas,38.78,31.32
Kota Batam,68.95,65.78
Kota Tanjung Pinang,61.25,58.36
DKI JAKARTA,72.68,64.51
Kep. Seribu,47.55,41.45
Kota Jakarta Selatan,76.33,68.36
Kota Jakarta Timur,76.93,71.26
Kota Jakarta Pusat,75.22,67.78
Kota Jakarta Barat,68.97,59.92
Kota Jakarta Utara,65.71,54.06
JAWA BARAT,41.24,35.36
Bogor,38.98,31.15
Sukabumi,21.44,16.84
Cianjur,17.82,14.88
Bandung,38.14,35.94
Garut,27.26,21.13
Tasikmalaya,23.18,18.99
Ciamis,22.14,20.37
Kuningan,28.09,23.49
Cirebon,32.93,26.68
Majalengka,25.14,20.48
Sumedang,34.59,27.35
Indramayu,33.1,25.33
Subang,32.83,25.18
Purwakarta,34.46,26.52
Karawang,37.49,29.26
Bekasi,56.11,47.28
Bandung Barat,29.68,21.94
Pangandaran,25.86,20.76
Kota Bogor,60.07,50.35
Kota Sukabumi,55.65,50.4
Kota Bandung,63.16,56.11
Kota Cirebon,61.4,54.78
Kota Bekasi,76.22,72.08
Kota Depok,71.43,66.91
Kota Cimahi,66.07,57.57
Kota Tasikmalaya,42.57,39.41
Kota Banjar,34.55,34.22
JAWA TENGAH,34.14,28.79
Cilacap,29.01,23.14
Banyumas,32.18,30.26
Purbalingga,25.24,20.03
Banjarnegara,21.88,17.52
Kebumen,31.11,27.08
Purworejo,39.31,32.44
Wonosobo,20.43,18.17
Magelang,32.17,25.27
Boyolali,36.92,28.44
Klaten,51.06,42.06
Sukoharjo,54.2,48.42
Wonogiri,27.43,24.11
Karanganyar,40.72,34.47
Sragen,34.21,27.71
Grobogan,24.27,17.14
Blora,26.28,24.07
Rembang,28.36,19.44
Pati,34.1,28.19
Kudus,42.4,38.8
Jepara,31.87,29.53
Demak,32.31,30.45
Semarang,35.54,28.67
Temanggung,25.6,21.59
Kendal,30.79,25.66
Batang,23.37,18.54
Pekalongan,25.51,21.94
Pemalang,23.03,15.69
Tegal,27.17,20.88
Brebes,25.38,16.97
Kota Magelang,66.03,62.09
Kota Surakarta,63.4,57.38
Kota Salatiga,67.27,63.33
Kota Semarang,66.47,58.48
Kota Pekalongan,44.85,37.06
Kota Tegal,47.56,42.91
D I YOGYAKARTA,52.33,47.12
Kulon Progo,45.28,40.73
Bantul,51.32,47.71
Gunung Kidul,27.03,21.81
Sleman,65.83,58.99
Kota Yogyakarta,69.53,64.92
JAWA TIMUR,36.5,30.95
Pacitan,25.31,23.7
Ponorogo,34.93,27.88
Trenggalek,29.01,25.65
Tulungagung,35.14,34.59
Blitar,30,27.66
Kediri,34.8,32.12
Malang,27.63,24.14
Lumajang,25.31,21.51
Jember,23.22,21.58
Banyuwangi,34.33,29.36
Bondowoso,28.7,18.77
Situbondo,31.02,21.26
Probolinggo,24.19,16.7
Pasuruan,29.78,20.05
Sidoarjo,62.14,56.35
Mojokerto,47,35.47
Jombang,40.81,33.22
Nganjuk,35.96,29.5
Madiun,34.65,28.31
Magetan,40.58,35.47
Ngawi,31.19,26.42
Bojonegoro,32.62,24.63
Tuban,28.74,24.11
Lamongan,37.9,30.55
Gresik,49.97,44.08
Bangkalan,18.64,12.63
Sampang,15.57,11.25
Pamekasan,34.13,21.8
Sumenep,26.75,17.01
Kota Kediri,60.97,56.82
Kota Blitar,62.78,61.87
Kota Malang,61.56,58.54
Kota Probolinggo,56.97,45.09
Kota Pasuruan,56.2,46.95
Kota Mojokerto,66.8,64.24
Kota Madiun,75.06,68.89
Kota Surabaya,54.95,51.05
Kota Batu,47.83,48.3
BANTEN,47.38,40.14
Pandeglang,21.68,19.21
Lebak,19.86,12.13
Tangerang,49.19,38.32
Serang,31.05,24.07
Kota Tangerang,65.03,58
Kota Cilegon,61.5,52.56
Kota Serang,35.89,32.49
Kota Tangerang Selatan,70.91,64.52
BALI,53.52,43.18
Jembrana,44.98,36.9
Tabanan,51.13,39.03
Badung,66.92,55.44
Gianyar,57.51,45.4
Klungkung,52.04,37.84
Bangli,35.13,25.91
Karangasem,29.85,22.85
Buleleng,36.93,27.84
Kota Denpasar,70.2,60.23
NUSA TENGGARA BARAT,36.78,29.68
Lombok Barat,32.25,23.35
Lombok Tengah,31.62,22.13
Lombok Timur,30.22,24.43
Sumbawa,34.56,34.67
Dompu,43.23,35.26
Bima,43.68,40.11
Sumbawa Barat,42.73,35.15
Lombok Utara,30.15,17.24
Kota Mataram,53.75,41.3
Kota Bima,59.44,58.91
NUSA TENGGARA TIMUR,31.15,28.45
Sumba Barat,26.53,22.37
Sumba Timur,29.49,30.23
Kupang,27.31,25.99
Timor Tengah Selatan,23.4,21.65
Timor Tengah Utara,29.16,28.67
Belu,25.3,29.6
Alor,37.82,27.5
Lembata,32.83,23.07
Flores Timur,31.25,25.99
Sikka,27.79,23.82
Ende,33.64,34.62
Ngada,27.58,29.75
Manggarai,34.05,24.4
Rote Ndao,29.86,27.62
Manggarai Barat,30.39,25.68
Sumba Tengah,28.18,25.59
Sumba Barat Daya,22.25,25.34
Nagekeo,26.62,25.59
Manggarai Timur,22.31,16.42
Sabu Raijua,22.1,25.02
Malaka,28.92,24.75
Kota Kupang,61.97,57.81
KALIMANTAN BARAT,32.82,29.03
Sambas,20.07,18.5
Bengkayang,29.77,31.02
Landak,29.42,24.72
Mempawah,30.14,24.82
Sanggau,30.2,25.46
Ketapang,25.62,22.02
Sintang,34.24,25.3
Kapuas Hulu,27.72,24.88
Sekadau,25.96,21.24
Melawi,35.95,26.35
Kayong Utara,26.22,20.96
Kubu Raya,30.84,25.02
Kota Pontianak,59.67,57.55
Kota Singkawang,36.79,35.34
KALIMANTAN TENGAH,34.54,30.3
Kotawaringin Barat,36.33,28.88
Kotawaringin Timur,27.56,23.83
Kapuas,24.94,22.88
Barito Selatan,38.94,29.53
Barito Utara,35.6,34.8
Sukamara,27.74,25.73
Lamandau,35.87,31.51
Seruyan,31.98,20.31
Katingan,26.43,28.04
Pulang Pisau,27.99,26.32
Gunung Mas,32.66,31
Barito Timur,49.45,42.49
Murung Raya,26.89,25.06
Kota Palangka Raya,62.98,55.85
KALIMANTAN SELATAN,36.72,31.02
Tanah Laut,29.02,23.62
Kotabaru,31.53,23.55
Banjar,30.83,26.69
Barito Kuala,30.88,24.03
Tapin,31.86,20.12
Hulu Sungai Selatan,27.12,28.1
Hulu Sungai Tengah,34.52,29.04
Hulu Sungai Utara,23.8,24.86
Tabalong,41.34,36.18
Tanah Bumbu,33.89,27.55
Balangan,38.03,30.9
Kota Banjarmasin,51.37,41.49
Kota Banjar Baru,59.2,55.93
KALIMANTAN TIMUR,55.46,50.12
Paser,42.55,36.87
Kutai Barat,48.99,45.03
Kutai Kartanegara,47.41,39.18
Kutai Timur,49.14,39.17
Berau,50.25,43.73
Penajam Paser Utara,41.87,36.16
Mahakam Ulu,39.34,40.7
Kota Balikpapan,63.43,59.41
Kota Samarinda,67.33,64.02
Kota Bontang,66.92,60.94
KALIMANTAN UTARA,47.27,41.48
Malinau,48.88,42.61
Bulungan,43.94,39.73
Tana Tidung,49.05,40.76
Nunukan,35.95,33.61
Kota Tarakan,57.6,48.27
SULAWESI UTARA,46.22,46.79
Bolaang Mongondow,29.29,29.84
Minahasa,48.79,52.62
Kepulauan Sangihe,36.94,39.55
Kepulauan Talaud,47.2,44.62
Minahasa Selatan,40.88,43.08
Minahasa Utara,56.37,52.71
Bolaang Mongondow Utara,31.67,36.2
Siau Tagulandang Biaro,39.13,41.2
Minahasa Tenggara,33.19,33.93
Bolaang Mongondow Selatan,21.15,29.53
Bolaang Mongondow Timur,29.39,28
Kota Manado,64.01,59.89
Kota Bitung,50.55,48.38
Kota Tomohon,55.12,58.75
Kota Kotamobagu,45.73,45.61
SULAWESI TENGAH,36.58,34.48
Banggai Kepulauan,33.87,26.12
Banggai,33.7,32.62
Morowali,43.02,40.01
Poso,40.8,41.57
Donggala,24.31,25.44
Toli-Toli,36.1,31.83
Buol,34.67,32.42
Parigi Moutong,26.98,27.41
Tojo Una-Una,28.34,28.41
Sigi,35.47,35.77
Banggai Laut,31.97,26.38
Morowali Utara,39.95,33.59
Kota Palu,61.78,53.86
SULAWESI SELATAN,41.53,38.38
Kepulauan Selayar,35.17,34.58
Bulukumba,36.87,33.39
Bantaeng,31.5,24.49
Jeneponto,26.91,23.81
Takalar,38.29,32.81
Gowa,39.14,37.73
Sinjai,29.59,28.68
Maros,37.93,31.24
Pangkajene dan Kepulauan,38.74,32.73
Barru,34.59,35.6
Bone,27.8,25.41
Soppeng,37.36,32.56
Wajo,26.85,21.31
Sidenreng Rappang,29.91,31.62
Pinrang,35.29,31.29
Enrekang,41.97,40
Luwu,42.5,38.08
Tana Toraja,44.87,37.93
Luwu Utara,30.05,27.79
Luwu Timur,38.19,37.82
Toraja Utara,44.3,41.58
Kota Makasar,68,65.05
Kota Parepare,54.89,54.86
Kota Palopo,64.17,62.99
SULAWESI TENGGARA,42.12,38.11
Buton,37.39,31.94
Muna,37.55,34.09
Konawe,41.66,35.94
Kolaka,40.73,34.67
Konawe Selatan,31.46,26.48
Bombana,30.89,33.61
Wakatobi,37.62,30.43
Kolaka Utara,33.71,33.66
Buton Utara,43.49,34.99
Konawe Utara,43.89,34.95
Kolaka Timur,33.86,35.29
Konawe Kepulauan,42.05,34.6
Muna Barat,36.42,29.75
Buton Tengah,30.87,24.46
Buton Selatan,31.37,25.31
Kota Kendari,67.86,62.44
Kota Baubau,56.18,55.67
GORONTALO,31.02,34.65
Boalemo,23.67,28.33
Gorontalo,28.75,32.23
Pohuwato,25.1,28.34
Bone Bolango,29.99,36.43
Gorontalo Utara,23.27,26.41
Kota Gorontalo,49.6,50.33
SULAWESI BARAT,38.03,32.75
Majene,48.69,40.6
Polewali Mandar,35.2,30.08
Mamasa,37.11,34.11
Mamuju,41.03,33.11
Mamuju Utara / Pasangkayu,35.28,34.04
Mamuju Tengah,32.7,27.46
MALUKU,51.49,48.71
Maluku Tenggara Barat / Kepulauan Tanimbar,44.59,43.03
Maluku Tenggara,43.59,40.6
Maluku Tengah,48.52,46.17
Buru,42.4,39.22
Kepulauan Aru,35.38,33.07
Seram Bagian Barat,42.79,42.51
Seram Bagian Timur,37.32,28.72
Maluku Barat Daya,38.39,35.5
Buru Selatan,34.63,29.13
Kota Ambon,71.17,67.63
Kota Tual,57.08,50.31
MALUKU UTARA,44.94,40.03
Halmahera Barat,38.22,34.04
Halmahera Tengah,38.34,38.03
Kepulauan Sula,37.33,32.82
Halmahera Selatan,32.75,30.35
Halmahera Utara,40.15,30.74
Halmahera Timur,39.87,31.06
Pulau Morotai,31.79,24.63
Pulau Taliabu,33.52,24.3
Kota Ternate,76.43,70.53
Kota Tidore Kepulauan,45.3,43.39
PAPUA BARAT,56.54,49.02
Fakfak,53.19,53.41
Kaimana,52.14,48.91
Teluk Wondama,39.76,33.46
Teluk Bintuni,54.67,43.6
Manokwari,55.65,41.6
Sorong Selatan,46.55,33.69
Sorong,47.17,37.77
Raja Ampat,36.25,33.82
Tambrauw,48.13,40.9
Maybrat,60.52,52.81
Manokwari Selatan,52.54,41.99
Pegunungan Arfak,45.02,21.69
Kota Sorong,71.53,67.86
PAPUA BARAT DAYA,-,-
Raja Ampat,-,-
Sorong,-,-
Sorong Selatan,-,-
Maybrat,-,-
Tambrauw,-,-
Kota Sorong,-,-
PAPUA,38.8,30.8
Merauke,55.34,51.03
Jayawijaya,39.33,27.79
Jayapura,62.38,58.69
Nabire,51.89,48.59
Kepulauan Yapen,58.43,52.45
Biak Numfor,62.12,48.64
Paniai,20.01,7.94
Puncak Jaya,34.46,26.59
Mimika,58.73,54.08
Boven Digoel,55.8,48.8
Mappi,43.83,28.57
Asmat,46.11,32.86
Yahukimo,15.88,7.5
Pegunungan Bintang,25.74,9.4
Tolikara,14.34,6.22
Sarmi,53.3,55.5
Keerom,43.96,39.47
Waropen,49.53,42.33
Supiori,56.79,49.49
Mamberamo Raya,40.82,33.87
Nduga,13.45,9.36
Lanny Jaya,22.63,10.98
Mamberamo Tengah,29.46,20.66
Yalimo,18.74,16.92
Puncak,8.53,3.65
Dogiyai,17.49,8.76
Intan Jaya,21.65,6.18
Deiyai,15.54,4.51
Kota Jayapura,76.55,69.28
PAPUA SELATAN,-,-
Merauke,-,-
Boven Digoel,-,-
Mappi,-,-
Asmat,-,-
PAPUA TENGAH,-,-
Mimika,-,-
Dogiyai,-,-
Deiyai,-,-
Nabire,-,-
Paniai,-,-
Intan Jaya,-,-
Puncak,-,-
Puncak Jaya,-,-
PAPUA PEGUNUNGAN,-,-
Nduga,-,-
Jayawijaya,-,-
Lanny Jaya,-,-
Tolikara,-,-
Mamberamo Tengah,-,-
Yalimo,-,-
Yahukimo,-,-
Pegunungan Bintang,-,-
INDONESIA,42.06,36.95
