Provinsi/Kabupaten/Kota/Indonesia,,
,Persentase penduduk usia 25 Tahun keatas dengan pendidikan SMA ke atas menurut jenis kelamin (Persen),
Rote Ndao,32.12,23.67
Manggarai Barat,25.09,17.97
Sumba Tengah,27.63,24.97
Sumba Barat Daya,17.21,19.86
Nagekeo,29.3,27.52
Manggarai Timur,25.23,14.83
Sabu Raijua,27.95,24.53
Malaka,33.3,27.43
Kota Kupang,70.46,61.66
KALIMANTAN BARAT,32.78,26.08
Sambas,26.32,17.63
Bengkayang,28.7,19.84
Landak,27.47,19.14
Mempawah,27.18,24.11
Sanggau,26.06,18.83
Ketapang,29.44,20.44
Sintang,24.94,20.86
Kapuas Hulu,33.92,24.06
Sekadau,24.79,18.87
Melawi,27.52,19.27
Kayong Utara,24.14,17.59
Kubu Raya,32.33,27.69
Kota Pontianak,61.42,54.87
Kota Singkawang,38.96,33.91
KALIMANTAN TENGAH,37.15,31
Kotawaringin Barat,43.01,30.14
Kotawaringin Timur,33.63,27.41
Kapuas,26.88,22.24
Barito Selatan,38.55,31.26
Barito Utara,36.66,32.07
Sukamara,38.07,23.6
Lamandau,33.26,27.21
Seruyan,30.26,23.55
Katingan,29.66,24.88
Pulang Pisau,29.37,25.9
Gunung Mas,34.78,31.86
Barito Timur,42.4,34.72
Murung Raya,26.12,21.65
Kota Palangka Raya,65.68,63.74
KALIMANTAN SELATAN,37.86,30.14
Tanah Laut,28.44,21.62
Kotabaru,31.79,24.36
Banjar,33.4,23.75
Barito Kuala,26.56,20.37
Tapin,36.68,26.07
Hulu Sungai Selatan,29,24.06
Hulu Sungai Tengah,35.78,31.01
Hulu Sungai Utara,26.51,23.04
Tabalong,43.94,31.5
Tanah Bumbu,34.42,25.19
Balangan,33.11,25.3
Kota Banjarmasin,53.83,46.62
Kota Banjar Baru,61.95,52.51
KALIMANTAN TIMUR,56.35,44.59
Paser,39.41,34.86
Kutai Barat,41.99,28.56
Kutai Kartanegara,52.09,39.53
Kutai Timur,50.05,37.12
Berau,54.68,40.09
Penajam Paser Utara,41,30.37
Mahakam Ulu,39.08,32.61
Kota Balikpapan,70.04,56.58
Kota Samarinda,62.53,49.84
Kota Bontang,68.2,56.09
KALIMANTAN UTARA,46.04,38.42
Malinau,43.99,32.8
Bulungan,46.39,39.44
Tana Tidung,45.16,36.23
Nunukan,35.76,28.47
Kota Tarakan,54.66,47.13
SULAWESI UTARA,45.95,45.77
Bolaang Mongondow,25.05,25.02
Minahasa,44.12,50.17
Kepulauan Sangihe,35.75,32.23
Kepulauan Talaud,42.98,42.21
Minahasa Selatan,36.12,37.46
Minahasa Utara,52.88,50.2
Bolaang Mongondow Utara,29.56,30.97
Siau Tagulandang Biaro,38.05,37.52
Minahasa Tenggara,36.61,37.83
Bolaang Mongondow Selatan,24.89,25.81
Bolaang Mongondow Timur,22.6,20.96
Kota Manado,70.61,67.52
Kota Bitung,54.02,49.43
Kota Tomohon,60.64,58.76
Kota Kotamobagu,49.49,47.8
SULAWESI TENGAH,39.05,33.34
Banggai Kepulauan,32.96,29.2
Banggai,36.53,25.86
Morowali,40.35,34.83
Poso,44.32,39.04
Donggala,29.84,26.83
Toli-Toli,34.14,29.95
Buol,32.43,29.6
Parigi Moutong,29.76,25.06
Tojo Una-Una,28.46,25.22
Sigi,36.23,27.91
Banggai Laut,37.23,21.78
Morowali Utara,41.55,31.64
Kota Palu,70.09,66.97
SULAWESI SELATAN,40.79,34.87
Kepulauan Selayar,38.3,32.87
Bulukumba,33.82,29.6
Bantaeng,25.23,22.61
Jeneponto,25.72,23.04
Takalar,33.05,26.99
Gowa,40.41,32.19
Sinjai,29.77,31.99
Maros,36.89,29.48
Pangkajene dan Kepulauan,36.63,27.51
Barru,33.91,32.1
Bone,28,24.65
Soppeng,33.25,30.94
Wajo,22.76,17.61
Sidenreng Rappang,32.5,27.41
Pinrang,33.8,27.57
Enrekang,48.09,35.84
Luwu,39.27,35.54
Tana Toraja,40.26,37.88
Luwu Utara,32.88,28.15
Luwu Timur,43.8,33.86
Toraja Utara,43.05,36.43
Kota Makasar,67.28,61.61
Kota Parepare,56.73,49.05
Kota Palopo,65.3,55.85
SULAWESI TENGGARA,47.02,39.1
Buton,38.86,27.81
Muna,47.77,34.93
Konawe,48.07,37.42
Kolaka,42.19,37.9
Konawe Selatan,38.41,27.43
Bombana,33.93,32.46
Wakatobi,37.66,27.6
Kolaka Utara,38.69,31.71
Buton Utara,49.15,35.13
Konawe Utara,46.87,38.96
Kolaka Timur,40.22,33.68
Konawe Kepulauan,45.53,35.18
Muna Barat,28.84,22.73
Buton Tengah,26.24,33.92
Buton Selatan,33.49,23.98
Kota Kendari,75.12,71.15
Kota Baubau,67.1,59.58
GORONTALO,31.68,35.11
Boalemo,21.29,21.91
Gorontalo,28.12,32.33
Pohuwato,27.45,29.37
Bone Bolango,32.3,39.51
Gorontalo Utara,21.07,24.02
Kota Gorontalo,54.38,56.32
SULAWESI BARAT,34.39,28.91
Majene,37.78,35.68
Polewali Mandar,33.05,26.83
Mamasa,41.82,33.6
Mamuju,34.21,30.33
Mamuju Utara / Pasangkayu,34.82,27.25
Mamuju Tengah,25.84,20.36
MALUKU,53.36,48.77
Maluku Tenggara Barat / Kepulauan Tanimbar,46.96,42.53
Maluku Tenggara,47.41,40.33
Maluku Tengah,49.18,47.55
Buru,42.98,32.28
Kepulauan Aru,36.28,31.17
Seram Bagian Barat,38.46,37.18
Seram Bagian Timur,35.53,28.1
Maluku Barat Daya,29.57,27.99
Buru Selatan,37.83,30.6
Kota Ambon,79.25,73.71
Kota Tual,60.93,51.66
MALUKU UTARA,45.36,37.16
Halmahera Barat,42.55,33.09
Halmahera Tengah,42.64,35.94
Kepulauan Sula,39.57,30.61
Halmahera Selatan,34.17,26.23
Halmahera Utara,40.66,32.7
Halmahera Timur,34.3,25.73
Pulau Morotai,28.95,23.14
Pulau Taliabu,27.76,20.81
Kota Ternate,77.43,66.41
Kota Tidore Kepulauan,45.2,41.13
PAPUA BARAT,56.65,47.32
Fakfak,50.92,48.75
Kaimana,51.55,41.69
Teluk Wondama,48.34,37.96
Teluk Bintuni,55.21,47.32
Manokwari,62.63,49.99
Sorong Selatan,45.7,32.17
Sorong,43.52,38.1
Raja Ampat,45.55,38.02
Tambrauw,39.48,23
Maybrat,56.24,43.54
Manokwari Selatan,54.06,35.67
Pegunungan Arfak,38.67,14.78
Kota Sorong,68.52,61.49
PAPUA BARAT DAYA,-,-
Raja Ampat,-,-
Sorong,-,-
Sorong Selatan,-,-
Maybrat,-,-
Tambrauw,-,-
Kota Sorong,-,-
PAPUA,38.81,26.98
Merauke,42.34,35.49
Jayawijaya,38.02,23.4
Jayapura,59.27,50.73
Nabire,56.18,48.91
Kepulauan Yapen,53.68,41.81
Biak Numfor,68.16,57.41
Paniai,26.22,14.65
Puncak Jaya,14.27,4.83
Mimika,63.04,50.54
Boven Digoel,48.38,41.93
Mappi,19.77,11.79
Asmat,19.61,11.13
Yahukimo,20.18,5.29
Pegunungan Bintang,27.7,11.36
Tolikara,18.26,4.65
Sarmi,45.86,30.23
Keerom,37.86,29.62
Waropen,51.16,38.83
Supiori,49.88,38.2
Mamberamo Raya,22.23,13.03
Nduga,4.21,0.39
Lanny Jaya,20.9,4.72
Mamberamo Tengah,25.75,10.13
Yalimo,21.14,10.55
Puncak,15.2,2.35
Dogiyai,13.98,4.48
Intan Jaya,18.62,8.48
Deiyai,13.72,2.46
Kota Jayapura,75.25,64.46
PAPUA SELATAN,-,-
Merauke,-,-
Boven Digoel,-,-
Mappi,-,-
Asmat,-,-
PAPUA TENGAH,-,-
Mimika,-,-
Dogiyai,-,-
Deiyai,-,-
Nabire,-,-
Paniai,-,-
Intan Jaya,-,-
Puncak,-,-
Puncak Jaya,-,-
PAPUA PEGUNUNGAN,-,-
Nduga,-,-
Jayawijaya,-,-
Lanny Jaya,-,-
Tolikara,-,-
Mamberamo Tengah,-,-
Yalimo,-,-
Yahukimo,-,-
Pegunungan Bintang,-,-
INDONESIA,39.77,31.85
