Provinsi/Kabupaten/Kota/Indonesia,,
,Persentase penduduk usia 25 Tahun keatas dengan pendidikan SMA ke atas menurut jenis kelamin (Persen),
,Laki-laki,Perempuan
,2019,2019
ACEH,45.23,36.87
Simeulue,42.68,30.25
Aceh Singkil,40.34,34.21
Aceh Selatan,44.92,36.68
Aceh Tenggara,37.88,30.57
Aceh Timur,29.34,19.49
Aceh Tengah,46.95,38.4
Aceh Barat,40.2,34.34
Aceh Besar,58.28,51.84
Pidie,41.93,20.98
Bireuen,39.85,40.18
Aceh Utara,36.89,29.77
Aceh Barat Daya,36.63,34.71
Gayo Lues,43.45,34.75
Aceh Tamiang,42.41,37.41
Nagan Raya,39.08,35.96
Aceh Jaya,36.03,32.87
Bener Meriah,47.77,43.29
Pidie Jaya,42.24,31.61
Kota Banda Aceh,79.24,67.19
Kota Sabang,67.83,58.78
Kota Langsa,68.09,59.85
Kota Lhokseumawe,57.14,47.47
Kota Subulussalam,43.74,35.56
SUMATERA UTARA,49.74,45.65
Nias,30.65,15.89
Mandailing Natal,34.1,30.38
Tapanuli Selatan,42.39,38.22
Tapanuli Tengah,37.39,38.06
Tapanuli Utara,54.85,47.57
Toba Samosir / Toba,56.74,54.63
Labuhan Batu,42.53,41.96
Asahan,38.44,33.78
Simalungun,46.08,46.33
Dairi,45.51,43.98
Karo,44.88,48.59
Deli Serdang,55.56,50.77
Langkat,41.06,36.23
Nias Selatan,34.41,21.99
Humbang Hasundutan,52.09,45.93
Pakpak Bharat,41.41,35.17
Samosir,49.26,42.95
Serdang Bedagai,39.1,34.5
Batu Bara,36.27,30.79
Padang Lawas Utara,48.28,38.97
Padang Lawas,35.43,30.04
Labuhan Batu Selatan,36.27,34.61
Labuhan Batu Utara,30.91,29.05
Nias Utara,31.53,16.78
Nias Barat,34.19,16.36
Kota Sibolga,53.79,54.12
Kota Tanjung Balai,42.13,44.3
Kota Pematang Siantar,71.04,64.12
Kota Tebing Tinggi,57.48,52.68
Kota Medan,69.94,66.78
Kota Binjai,64.08,55.99
Kota Padangsidimpuan,61.56,55.42
Kota Gunungsitoli,52.86,34.22
SUMATERA BARAT,42.63,40.37
Kepulauan Mentawai,30.24,23.35
Pesisir Selatan,36.49,37.5
Solok,28.7,30.49
Sijunjung,34.07,31.31
Tanah Datar,34.74,39.52
Padang Pariaman,36.38,34.25
Agam,40.1,42.08
Lima Puluh Kota,28.47,28.11
Pasaman,35.81,31.5
Solok Selatan,29.86,31.42
Dharmasraya,34.88,33.06
Pasaman Barat,32.75,35.18
Kota Padang,68.53,55.94
Kota Solok,58.98,53.56
Kota Sawah Lunto,50.73,51.27
Kota Padang Panjang,65.21,61.68
Kota Bukittinggi,66.63,59.09
Kota Payakumbuh,57.81,61.21
Kota Pariaman,56.55,53.64
RIAU,44.16,38.56
Kuantan Singingi,40.33,36.39
Indragiri Hulu,34.48,29.97
Indragiri Hilir,22.46,20.76
Pelalawan,38.92,33.11
Siak,50.49,40.43
Kampar,44.33,38.01
Rokan Hulu,32.43,27.15
Bengkalis,54.78,45.58
Rokan Hilir,36.16,28.61
Kepulauan Meranti,32.31,23.97
Kota Pekanbaru,68.58,64.49
Kota Dumai,55.59,51.1
JAMBI,38.61,32.03
Kerinci,42.23,29.33
Merangin,29.76,22.58
Sarolangun,32.27,25.05
Batang Hari,32.32,28.83
Muaro Jambi,34.15,28.41
Tanjung Jabung Timur,22.49,17.35
Tanjung Jabung Barat,27.59,19.25
Tebo,28.16,20.33
Bungo,35.19,26.71
Kota Jambi,69.29,63.83
Kota Sungai Penuh,59.95,53.74
SUMATERA SELATAN,36.03,29.86
Ogan Komering Ulu,37.68,33.96
Ogan Komering Ilir,18.17,13.98
Muara Enim,34.02,26.84
Lahat,39.07,32.07
Musi Rawas,27.47,21.9
Musi Banyuasin,25.55,19.49
Banyu Asin,28.17,21.91
Ogan Komering Ulu Selatan,25.7,20.38
Ogan Komering Ulu Timur,27.54,21.66
Ogan Ilir,29.47,22.2
Empat Lawang,27.4,18.29
Penukal Abab Lematang Ilir,30.43,22.15
Musi Rawas Utara,18.95,15.89
Kota Palembang,61.81,52.86
Kota Prabumulih,54.65,47.43
Kota Pagar Alam,43.89,38.34
Kota Lubuklinggau,53.66,47.56
BENGKULU,41.98,35.81
Bengkulu Selatan,41.7,38.58
Rejang Lebong,33.31,34.12
Bengkulu Utara,35.44,25.04
Kaur,40.41,31.21
Seluma,30.62,27.1
Mukomuko,34.19,28.86
Lebong,36,25.96
Kepahiang,33.11,26.06
Bengkulu Tengah,30.03,22.39
Kota Bengkulu,74.52,65.46
LAMPUNG,32.32,26.1
Lampung Barat,32.33,24.82
Tanggamus,25.28,17.84
Lampung Selatan,26.86,22.39
Lampung Timur,28.58,19.56
Lampung Tengah,27.37,22.75
Lampung Utara,30.5,23.43
Way Kanan,22.23,16.73
Tulangbawang,27.33,17.55
Pesawaran,30.31,24.48
Pringsewu,33.22,28.63
Mesuji,12.3,9.92
Tulang Bawang Barat,24.06,18.81
Pesisir Barat,32.35,25.81
Kota Bandar Lampung,61.26,54.69
Kota Metro,63.6,56
KEP. BANGKA BELITUNG,36.8,30.76
Bangka,39.19,33.1
Belitung,38.9,35.51
Bangka Barat,32.21,22.27
Bangka Tengah,31.34,25.64
Bangka Selatan,21.44,16.9
Belitung Timur,31.73,27.02
Kota Pangkal Pinang,57.65,50.1
KEPULAUAN RIAU,58.18,55.04
Karimun,36.5,27.53
Bintan,39.15,26.79
Natuna,38.19,29.13
Lingga,29.37,25.56
Kepulauan Anambas,29.68,25.18
Kota Batam,69.31,69.27
Kota Tanjung Pinang,52.16,52.46
DKI JAKARTA,67.74,58.88
Kep. Seribu,36.27,30.93
Kota Jakarta Selatan,72.5,63.76
Kota Jakarta Timur,74.47,64.47
Kota Jakarta Pusat,68.18,59.01
Kota Jakarta Barat,60.99,52.13
Kota Jakarta Utara,60.33,53.27
JAWA BARAT,38.24,28.89
Bogor,40.42,30.04
Sukabumi,22.2,13.48
Cianjur,17.82,13.25
Bandung,39.16,30.23
Garut,24.8,17.79
Tasikmalaya,20.23,14.93
Ciamis,23.07,18.38
Kuningan,23.68,17.24
Cirebon,24.95,18.31
Majalengka,23.06,13.91
Sumedang,30.04,22.84
Indramayu,23.49,14
Subang,24.48,16.11
Purwakarta,34.66,24.11
Karawang,36.62,25.69
Bekasi,43.7,34.29
Bandung Barat,35.51,24.16
Pangandaran,26.38,16.12
Kota Bogor,56.02,48.51
Kota Sukabumi,50.91,41.86
Kota Bandung,61.7,53.15
Kota Cirebon,58.81,43.6
Kota Bekasi,68.7,53.23
Kota Depok,70.48,56.76
Kota Cimahi,60.82,47.2
Kota Tasikmalaya,40.54,34.51
Kota Banjar,35.66,25.59
JAWA TENGAH,30.94,23.94
Cilacap,25.98,20.09
Banyumas,27.76,22.83
Purbalingga,22.56,18.07
Banjarnegara,17.17,15.29
Kebumen,28.7,23.13
Purworejo,35.31,26.12
Wonosobo,18.14,13.8
Magelang,36.08,25.24
Boyolali,33.49,26.28
Klaten,42.39,35.03
Sukoharjo,49.58,41.49
Wonogiri,25,21.11
Karanganyar,39.05,33.14
Sragen,34.56,25.8
Grobogan,18.62,12
Blora,26.24,20.07
Rembang,24.66,19.02
Pati,28.66,22.63
Kudus,38.36,29.93
Jepara,26.38,17.57
Demak,29.59,20.62
Semarang,34.72,29.12
Temanggung,24.26,19.32
Kendal,31.53,21.74
Batang,20.55,14.31
Pekalongan,21.24,18.28
Pemalang,22,13.57
Tegal,24.12,19.09
Brebes,17.23,12.47
Kota Magelang,65.73,47.61
Kota Surakarta,62.31,53.76
Kota Salatiga,63.41,51.32
Kota Semarang,65.03,47.15
Kota Pekalongan,36.01,34.62
Kota Tegal,37.47,32
D I YOGYAKARTA,50.84,43
Kulon Progo,40.21,32.87
Bantul,53.11,45.67
Gunung Kidul,27.73,21.87
Sleman,62.69,53.87
Kota Yogyakarta,66.37,59.87
JAWA TIMUR,33.38,24.25
Pacitan,22.26,17.19
Ponorogo,28.67,24.01
Trenggalek,19.78,15.68
Tulungagung,30.09,21.13
Blitar,22.12,18.56
Kediri,35.91,28.41
Malang,25.4,19.27
Lumajang,16.73,12.1
Jember,22.07,15.97
Banyuwangi,26.52,20.12
Bondowoso,23.8,12.58
Situbondo,24.47,13.8
Probolinggo,19.86,10.81
Pasuruan,30.94,21.79
Sidoarjo,51.23,41.57
Mojokerto,43.79,31.93
Jombang,39.16,29.81
Nganjuk,30.92,23.65
Madiun,36.42,30.92
Magetan,29.64,23.56
Ngawi,25.77,19.66
Bojonegoro,27.64,18.31
Tuban,25.59,17.74
Lamongan,32.92,27.08
Gresik,53.72,41.4
Bangkalan,25.26,13.12
Sampang,15.51,8.61
Pamekasan,28.51,18.29
Sumenep,23.37,11.15
Kota Kediri,53.49,37.59
Kota Blitar,56.14,55.38
Kota Malang,56.74,42.08
Kota Probolinggo,47.57,31.34
Kota Pasuruan,48.96,39.31
Kota Mojokerto,65.29,55.63
Kota Madiun,71.64,62.88
Kota Surabaya,60.45,41.16
Kota Batu,45.64,38.96
BANTEN,43.97,35.09
Pandeglang,20.75,13.26
Lebak,17.48,9.15
Tangerang,35.89,26.99
Serang,29.15,20.11
Kota Tangerang,66.04,58.37
Kota Cilegon,56.59,43.33
Kota Serang,40.24,32.93
Kota Tangerang Selatan,74.14,63.75
BALI,52.36,37.68
Jembrana,45.67,26.29
Tabanan,51.08,36.2
Badung,67.69,56.87
Gianyar,51.5,33.36
Klungkung,52.25,35.21
Bangli,32.69,18.13
Karangasem,32.84,15.3
Buleleng,33.2,18.49
Kota Denpasar,71.22,62.33
NUSA TENGGARA BARAT,38.4,26.74
Lombok Barat,38.66,23.92
Lombok Tengah,30.56,17.42
Lombok Timur,31.68,21.53
Sumbawa,36.65,29.31
Dompu,51.43,38.19
Bima,44.08,35.98
Sumbawa Barat,46.1,33.58
Lombok Utara,28.01,17.49
Kota Mataram,51,39.41
Kota Bima,66.22,56.98
NUSA TENGGARA TIMUR,33.72,27.2
Sumba Barat,32.58,25.3
Sumba Timur,27.41,27.82
Kupang,36.67,28.34
Timor Tengah Selatan,28.16,23.3
Timor Tengah Utara,30.7,23.47
Belu,29.98,22.64
Alor,36.77,28.13
Lembata,39.61,27.31
Flores Timur,38.19,27.59
Sikka,29.59,24.27
Ende,33.17,25.14
Ngada,34.08,32.53
Manggarai,29.36,22.44
