Provinsi/Kabupaten/Kota/Indonesia,,
,Persentase penduduk usia 25 Tahun keatas dengan pendidikan SMA ke atas menurut jenis kelamin (Persen),
,Laki-laki,Perempuan
,2021,2021
ACEH,46.93,42.05
Simeulue,52.05,40
Aceh Singkil,42.18,38.77
Aceh Selatan,38.2,32.6
Aceh Tenggara,54.36,43.27
Aceh Timur,33.47,28.85
Aceh Tengah,48.5,45.16
Aceh Barat,49.51,45.88
Aceh Besar,53.69,51.63
Pidie,40.12,32.97
Bireuen,38.68,38.68
Aceh Utara,38.43,34.03
Aceh Barat Daya,37.93,37.48
Gayo Lues,42.91,30.37
Aceh Tamiang,41.35,38.72
Nagan Raya,44.77,36.81
Aceh Jaya,38.25,31.51
Bener Meriah,52.6,47.23
Pidie Jaya,47.2,37.06
Kota Banda Aceh,80.84,81.14
Kota Sabang,66.46,63.65
Kota Langsa,68.52,60.33
Kota Lhokseumawe,66.46,66.19
Kota Subulussalam,41.57,34.49
SUMATERA UTARA,51.38,47.5
Nias,35.66,20.64
Mandailing Natal,34.63,30.82
Tapanuli Selatan,38.68,32.63
Tapanuli Tengah,42.99,42.94
Tapanuli Utara,54.65,48.59
Toba Samosir / Toba,56.34,59.2
Labuhan Batu,43.54,45.24
Asahan,40.58,36.42
Simalungun,50.78,47.16
Dairi,48.19,48.78
Karo,52.45,51.85
Deli Serdang,58.4,54.68
Langkat,40.3,35.66
Nias Selatan,30.41,22.82
Humbang Hasundutan,53.4,49.84
Pakpak Bharat,46.3,39.82
Samosir,54.58,44.4
Serdang Bedagai,39.75,37.66
Batu Bara,33.67,31.19
Padang Lawas Utara,42.33,40.66
Padang Lawas,41.24,32.7
Labuhan Batu Selatan,45.23,36.65
Labuhan Batu Utara,37.6,31.28
Nias Utara,35.39,21.84
Nias Barat,42.18,27.29
Kota Sibolga,51.28,57.27
Kota Tanjung Balai,41.63,46.62
Kota Pematang Siantar,74.16,69.6
Kota Tebing Tinggi,62.5,56.2
Kota Medan,70.5,65.5
Kota Binjai,61.8,57
Kota Padangsidimpuan,60.82,62.86
Kota Gunungsitoli,49.75,34.07
SUMATERA BARAT,43.74,44.97
Kepulauan Mentawai,38.72,27.51
Pesisir Selatan,34.86,38.54
Solok,28.36,30.29
Sijunjung,33.47,35.4
Tanah Datar,35.59,40.79
Padang Pariaman,32.26,35.84
Agam,40.64,42.5
Lima Puluh Kota,33.4,37.31
Pasaman,29.02,27.93
Solok Selatan,36.24,39.37
