Provinsi/Kabupaten/Kota/Indonesia,,
,Persentase penduduk usia 25 Tahun keatas dengan pendidikan SMA ke atas menurut jenis kelamin (Persen),
Dharmasraya,39.91,36.9
Pasaman Barat,42.43,39.81
Kota Padang,69.26,68.31
Kota Solok,60.52,63.62
Kota Sawah Lunto,53.76,57.27
Kota Padang Panjang,60.45,68.3
Kota Bukittinggi,63.55,71.81
Kota Payakumbuh,60,62.5
Kota Pariaman,58.09,57.8
RIAU,46.39,43.04
Kuantan Singingi,41.27,35.45
Indragiri Hulu,35.22,30.4
Indragiri Hilir,24.69,23.69
Pelalawan,40.54,36.91
Siak,55.96,53.2
Kampar,44.07,39.34
Rokan Hulu,38.1,34.87
Bengkalis,51.15,45.69
Rokan Hilir,38.78,30.19
Kepulauan Meranti,32.63,29.89
Kota Pekanbaru,74.21,73.74
Kota Dumai,57.18,53.76
JAMBI,39.74,33.73
Kerinci,39.04,33.6
Merangin,32.41,25.83
Sarolangun,37.85,31.01
Batang Hari,31.13,27.15
Muaro Jambi,36.63,28.25
Tanjung Jabung Timur,25.73,20.98
Tanjung Jabung Barat,31.65,29.53
Tebo,28.29,23.19
Bungo,33.14,23.99
Kota Jambi,69.35,62.03
Kota Sungai Penuh,59.99,51.32
SUMATERA SELATAN,37.94,32.99
Ogan Komering Ulu,44.47,36.98
Ogan Komering Ilir,19.65,17.77
Muara Enim,37.35,25.66
Lahat,40,36.76
Musi Rawas,24.71,23.43
Musi Banyuasin,26.21,24.1
Banyu Asin,32.22,24.61
Ogan Komering Ulu Selatan,27.72,21.55
Ogan Komering Ulu Timur,27.79,22.9
Ogan Ilir,29.01,23.82
Empat Lawang,26.56,25.77
Penukal Abab Lematang Ilir,28.57,17.04
Musi Rawas Utara,28.94,18.39
Kota Palembang,64.8,59.85
Kota Prabumulih,52.82,49.75
Kota Pagar Alam,48.66,43.28
Kota Lubuklinggau,47.42,39.56
BENGKULU,41.64,37.43
Bengkulu Selatan,46.41,41.39
Rejang Lebong,40.32,35.59
Bengkulu Utara,31.63,29.57
Kaur,37.91,28.52
Seluma,33.83,27.12
Mukomuko,31.45,24.49
Lebong,37,33.03
Kepahiang,35.43,33.53
Bengkulu Tengah,32.94,23.48
Kota Bengkulu,67.2,66.61
LAMPUNG,33.72,28.77
Lampung Barat,29.86,25.2
Tanggamus,26.07,21.73
Lampung Selatan,30.02,24.36
Lampung Timur,32.26,25.66
Lampung Tengah,28.57,24.14
Lampung Utara,32.18,27.31
Way Kanan,24.15,18
Tulangbawang,25.43,23.8
Pesawaran,27.68,22.03
Pringsewu,30.85,25.52
Mesuji,21.04,17.86
Tulang Bawang Barat,22.75,20.77
Pesisir Barat,37.18,28.78
Kota Bandar Lampung,64.44,57.6
Kota Metro,59.3,57.88
KEP. BANGKA BELITUNG,37.52,33.58
Bangka,39.17,31.9
Belitung,37.66,34.78
Bangka Barat,34.63,30.19
Bangka Tengah,24.64,23.37
Bangka Selatan,24.64,20.5
Belitung Timur,37.68,35.06
Kota Pangkal Pinang,60.76,57.24
KEPULAUAN RIAU,60.43,59.2
Karimun,38.57,31.97
Bintan,44.32,42.6
Natuna,45.29,41.64
Lingga,34.06,28.36
Kepulauan Anambas,33.24,29.81
Kota Batam,70.06,70.97
Kota Tanjung Pinang,57.96,51.36
DKI JAKARTA,69.07,59.76
Kep. Seribu,41.99,33.56
Kota Jakarta Selatan,72.71,63.81
Kota Jakarta Timur,73.46,64
Kota Jakarta Pusat,68.81,62.5
Kota Jakarta Barat,65.7,55.42
Kota Jakarta Utara,62.67,52.67
JAWA BARAT,40.99,33.12
Bogor,38.76,29.22
Sukabumi,23.43,15.17
Cianjur,18.01,11.09
Bandung,41.75,35.59
Garut,26.36,18.52
Tasikmalaya,18.91,16.42
Ciamis,24.68,19.51
Kuningan,28.62,22.16
Cirebon,32.59,23.46
Majalengka,25.21,17.49
Sumedang,31.97,23.65
Indramayu,28.33,21.73
Subang,28.56,23.36
Purwakarta,35.19,26.31
Karawang,35.31,24.76
Bekasi,55.38,45.16
Bandung Barat,31.17,22.18
Pangandaran,25.19,18.94
Kota Bogor,64.9,53.71
Kota Sukabumi,54.02,47.04
Kota Bandung,67.02,61.32
Kota Cirebon,63.2,54.64
Kota Bekasi,74.11,65.42
Kota Depok,72.32,64.62
Kota Cimahi,63.1,56.58
Kota Tasikmalaya,43.32,39.87
Kota Banjar,41.53,31.4
JAWA TENGAH,32.26,26.82
Cilacap,25.63,21.16
Banyumas,29.44,26.37
Purbalingga,25.22,19.83
Banjarnegara,20.11,16.17
Kebumen,25.06,21.06
Purworejo,37.25,31.46
Wonosobo,18.33,16.58
Magelang,30.85,24.2
Boyolali,35.97,27.02
Klaten,49.02,41.78
Sukoharjo,50.3,45.13
Wonogiri,27.15,21.07
Karanganyar,40.31,32.04
Sragen,33.77,26.03
Grobogan,22.2,14.48
Blora,26.42,22.62
Rembang,26.24,18.52
Pati,28.91,25.65
Kudus,41.36,32.99
Jepara,30.19,24.54
Demak,29.1,26.96
Semarang,31.49,28.13
Temanggung,22.94,18.93
Kendal,30.78,22.04
Batang,20.16,17.27
Pekalongan,25.43,21.61
Pemalang,20.61,16.72
Tegal,26.33,19.49
Brebes,21.09,14.02
Kota Magelang,65.78,60.68
Kota Surakarta,67.57,64.04
Kota Salatiga,66.55,56.72
Kota Semarang,68.6,60.32
Kota Pekalongan,45.63,41.72
Kota Tegal,45.73,41.66
D I YOGYAKARTA,52.14,47.37
Kulon Progo,46.6,40.38
Bantul,53.2,49.22
Gunung Kidul,24.73,22.45
Sleman,65.55,59.32
Kota Yogyakarta,68.81,67.12
JAWA TIMUR,36.65,29.61
Pacitan,23.06,21.61
Ponorogo,32.9,26.45
Trenggalek,24.85,23.28
Tulungagung,33,29.24
Blitar,28.69,25.04
Kediri,35.29,31.66
Malang,27.26,22.6
Lumajang,24.13,17.53
Jember,23.15,20.05
Banyuwangi,33.86,25.98
Bondowoso,27.16,16.31
Situbondo,31.36,20.57
Probolinggo,24.08,15.12
Pasuruan,31.05,20.07
Sidoarjo,64.7,56.75
Mojokerto,44.24,33.94
Jombang,37.67,32.12
Nganjuk,36.08,26.59
Madiun,33.25,28.15
Magetan,40.59,32.65
Ngawi,29.92,25.83
Bojonegoro,32.6,22.54
Tuban,28.34,24.04
Lamongan,37.21,29.72
Gresik,51.15,43.22
Bangkalan,18.21,13.37
Sampang,14.14,9.2
Pamekasan,32.84,18.24
Sumenep,26.75,15.62
Kota Kediri,66.59,59.13
Kota Blitar,63.01,58.22
Kota Malang,59.86,58.59
Kota Probolinggo,55.36,43.55
Kota Pasuruan,56.89,48.94
Kota Mojokerto,68.38,57.17
Kota Madiun,78.04,71.14
Kota Surabaya,61.78,52.51
Kota Batu,47.76,46.03
BANTEN,46.65,36.88
Pandeglang,17.25,10.64
Lebak,14.82,7.7
Tangerang,48.76,36.23
Serang,25.27,16.71
Kota Tangerang,67.81,55.55
Kota Cilegon,62.49,51.27
Kota Serang,45.92,38.08
Kota Tangerang Selatan,68.83,64
BALI,52.5,40.07
Jembrana,47.39,33.84
Tabanan,57.07,41.95
Badung,68,58.91
Gianyar,57.07,47.12
Klungkung,44.98,27.04
Bangli,34.51,23.3
Karangasem,25.5,13.73
Buleleng,38.73,23.71
Kota Denpasar,64.33,54.08
NUSA TENGGARA BARAT,38.17,27.21
Lombok Barat,28.59,16.89
Lombok Tengah,30.69,20.48
Lombok Timur,32.36,21.18
Sumbawa,37.51,28.77
Dompu,47.79,40.61
Bima,48.5,40.54
Sumbawa Barat,44.68,34.76
Lombok Utara,25.94,15.1
Kota Mataram,57.33,43.18
Kota Bima,68.76,58.68
NUSA TENGGARA TIMUR,33.47,29.14
Sumba Barat,31.3,24.47
Sumba Timur,34.48,37.91
Kupang,27.02,24.89
Timor Tengah Selatan,23.77,18.65
Timor Tengah Utara,31.89,29.18
Belu,26.2,26.53
Alor,37.02,28.62
Lembata,35.93,23.71
Flores Timur,31.52,22.2
Sikka,30.57,26.99
Ende,37.15,34.08
Ngada,35.13,32.96
Manggarai,34.64,24.78
Rote Ndao,36.72,28.24
Manggarai Barat,32.59,25.44
Sumba Tengah,30.15,26.57
Sumba Barat Daya,21.2,25.09
Nagekeo,29.5,28.28
Manggarai Timur,24.58,19.23
Sabu Raijua,20.85,23.61
Malaka,30.26,26.66
Kota Kupang,69.48,65.55
KALIMANTAN BARAT,32.76,26.99
Sambas,25.4,18.7
Bengkayang,30.6,23.45
Landak,25.32,21.08
Mempawah,28.97,25.01
Sanggau,34.58,28.31
Ketapang,28.03,21.41
Sintang,26.5,22.74
Kapuas Hulu,27.66,22.49
Sekadau,25.74,18.23
Melawi,30.31,19.79
Kayong Utara,23.84,17.09
Kubu Raya,31.34,24.47
Kota Pontianak,59.13,53.01
Kota Singkawang,34.53,33.94
KALIMANTAN TENGAH,33.93,29.37
Kotawaringin Barat,37.25,29.51
Kotawaringin Timur,31.26,25.65
Kapuas,23.1,17.69
Barito Selatan,39.67,30.57
Barito Utara,33.85,33.48
Sukamara,30.84,26.87
Lamandau,33.3,24.38
Seruyan,25.87,19.77
Katingan,30.18,23.45
Pulang Pisau,28.95,23.77
Gunung Mas,33.08,33.7
Barito Timur,38.98,37.58
Murung Raya,24.93,20.07
Kota Palangka Raya,58.86,59.04
KALIMANTAN SELATAN,36.72,31.17
Tanah Laut,27.62,22.39
Kotabaru,28.03,22.93
Banjar,27.9,25.24
Barito Kuala,31.46,27.44
Tapin,31.74,24.24
Hulu Sungai Selatan,24.41,22.04
Hulu Sungai Tengah,29.89,23.4
Hulu Sungai Utara,30.51,26.21
Tabalong,37.8,29.09
Tanah Bumbu,30.01,26.75
Balangan,33.25,25.98
Kota Banjarmasin,59.94,50.54
Kota Banjar Baru,61.15,54.84
KALIMANTAN TIMUR,55.6,46.36
Paser,43.08,32.88
Kutai Barat,48.25,35.24
Kutai Kartanegara,46.03,35.39
Kutai Timur,51.7,41.14
Berau,50.3,42.25
Penajam Paser Utara,39.55,30.2
Mahakam Ulu,35.86,33.27
Kota Balikpapan,72.34,62.63
Kota Samarinda,61.02,53.07
Kota Bontang,69.49,58.63
KALIMANTAN UTARA,46.07,38.66
Malinau,46.44,32.37
Bulungan,45.33,40.28
Tana Tidung,43.28,36.33
Nunukan,34.81,28.69
Kota Tarakan,55.68,47.64
SULAWESI UTARA,45.8,45.72
Bolaang Mongondow,25.25,26.13
Minahasa,48.93,48.57
Kepulauan Sangihe,31.64,37.22
Kepulauan Talaud,47.52,43.65
Minahasa Selatan,40.07,39.47
Minahasa Utara,48.15,47.55
Bolaang Mongondow Utara,24.24,26.8
Siau Tagulandang Biaro,37.28,37.96
Minahasa Tenggara,33.18,40.15
Bolaang Mongondow Selatan,27.89,28.14
Bolaang Mongondow Timur,28.34,24.86
Kota Manado,67.1,65.97
Kota Bitung,53.6,46.25
Kota Tomohon,55.65,56.21
Kota Kotamobagu,51.34,52.26
SULAWESI TENGAH,37.55,33.54
Banggai Kepulauan,35.74,28.85
Banggai,34.66,27.61
Morowali,42.08,34.3
Poso,40.32,41.31
Donggala,24.41,23.46
Toli-Toli,38.16,31.54
Buol,38.7,34.65
Parigi Moutong,27.35,25.66
Tojo Una-Una,27.27,25.7
Sigi,34.86,32.67
Banggai Laut,33.71,26.42
Morowali Utara,40.73,31.71
Kota Palu,66.89,59.45
SULAWESI SELATAN,40.63,35.35
Kepulauan Selayar,39.05,34.78
Bulukumba,34.4,29.43
Bantaeng,30.37,24.43
Jeneponto,26.24,22.44
Takalar,32.89,27.85
Gowa,31.73,26.34
Sinjai,33.44,30.11
Maros,42.75,34.34
Pangkajene dan Kepulauan,35.69,29.31
Barru,36.19,32.63
Bone,28.37,23.63
Soppeng,31.26,29.44
Wajo,26.65,21.29
Sidenreng Rappang,32.99,30.36
Pinrang,33.28,28.1
Enrekang,44.46,37.24
Luwu,39.43,37.67
Tana Toraja,41.99,41.06
Luwu Utara,32.17,25.85
Luwu Timur,39.78,32.46
Toraja Utara,47.37,41.99
Kota Makasar,66.52,61.09
Kota Parepare,67.29,61.53
Kota Palopo,63.9,62.1
SULAWESI TENGGARA,43.1,36.18
Buton,35.1,28.53
Muna,42.59,31.52
Konawe,42.23,35.22
Kolaka,39.92,33.36
Konawe Selatan,34.56,26.66
Bombana,30.81,27.82
Wakatobi,33.44,29.88
Kolaka Utara,30.69,30.63
Buton Utara,37.7,27.8
Konawe Utara,42.69,36.95
Kolaka Timur,30.8,30.36
Konawe Kepulauan,43.55,34.73
Muna Barat,30.79,27.06
Buton Tengah,26.96,25.33
Buton Selatan,28.83,20.25
Kota Kendari,72.77,63.98
Kota Baubau,67.6,55.58
GORONTALO,29.75,32.99
Boalemo,23.69,25.73
Gorontalo,25.83,31
Pohuwato,25.24,24.67
Bone Bolango,28.98,31.49
Gorontalo Utara,22.47,25.92
Kota Gorontalo,49.24,51.58
SULAWESI BARAT,35.98,31.03
Majene,45.99,38.36
Polewali Mandar,34.54,29.37
Mamasa,38.28,36.85
Mamuju,33.08,29.16
Mamuju Utara / Pasangkayu,34.63,29.74
Mamuju Tengah,33.99,25.47
MALUKU,51.5,49.42
Maluku Tenggara Barat / Kepulauan Tanimbar,45.24,44.53
Maluku Tenggara,49.49,45.74
Maluku Tengah,46.88,46.71
Buru,43.95,33.69
Kepulauan Aru,37.29,36.4
Seram Bagian Barat,41.32,41.49
Seram Bagian Timur,37.93,29.88
Maluku Barat Daya,37.43,34.04
Buru Selatan,34.08,29.71
Kota Ambon,73.02,73.31
Kota Tual,54.86,47.53
MALUKU UTARA,42.82,35.05
Halmahera Barat,34.47,32.61
Halmahera Tengah,34.14,35.48
Kepulauan Sula,35.93,31.72
Halmahera Selatan,31,22.57
Halmahera Utara,37.54,27.53
Halmahera Timur,33.39,24.94
Pulau Morotai,31.14,21.43
Pulau Taliabu,27.48,17.49
Kota Ternate,75.06,62.93
Kota Tidore Kepulauan,49.65,43.62
PAPUA BARAT,57.48,46.65
Fakfak,60.13,50.07
Kaimana,56.01,49.24
Teluk Wondama,45.98,32.81
Teluk Bintuni,59.6,45.29
Manokwari,58.01,38.23
Sorong Selatan,46.02,24.64
Sorong,46.87,34.58
Raja Ampat,38.73,31.33
Tambrauw,55.63,36.14
Maybrat,63.38,53.47
Manokwari Selatan,55.88,41.95
Pegunungan Arfak,51.12,17.44
Kota Sorong,66.5,65.46
PAPUA BARAT DAYA,-,-
Raja Ampat,-,-
Sorong,-,-
Sorong Selatan,-,-
Maybrat,-,-
Tambrauw,-,-
Kota Sorong,-,-
PAPUA,36.7,26.44
Merauke,43.47,34.7
Jayawijaya,35.73,18.68
Jayapura,56.41,47.28
Nabire,53.73,44.79
Kepulauan Yapen,55.31,41.12
Biak Numfor,55.51,43.86
Paniai,22.13,5.63
Puncak Jaya,15.71,4.96
Mimika,58.18,52.07
Boven Digoel,52.49,37.83
Mappi,32.3,17.35
Asmat,30.11,17.24
Yahukimo,13.43,5.85
Pegunungan Bintang,28.17,8.43
Tolikara,14.03,7.52
Sarmi,47.75,31.6
Keerom,37.63,29.16
Waropen,47.51,32.87
Supiori,45.27,35.74
Mamberamo Raya,42.64,23.91
Nduga,13.1,6.86
Lanny Jaya,21.1,9.2
Mamberamo Tengah,22.88,13.91
Yalimo,14.89,12.2
Puncak,8.81,4.54
Dogiyai,13.54,6.94
Intan Jaya,19.66,3.76
Deiyai,20.16,2.27
Kota Jayapura,69.53,66.56
PAPUA SELATAN,-,-
Merauke,-,-
Boven Digoel,-,-
Mappi,-,-
Asmat,-,-
PAPUA TENGAH,-,-
Mimika,-,-
Dogiyai,-,-
Deiyai,-,-
Nabire,-,-
Paniai,-,-
Intan Jaya,-,-
Puncak,-,-
Puncak Jaya,-,-
PAPUA PEGUNUNGAN,-,-
Nduga,-,-
Jayawijaya,-,-
Lanny Jaya,-,-
Tolikara,-,-
Mamberamo Tengah,-,-
Yalimo,-,-
Yahukimo,-,-
Pegunungan Bintang,-,-
INDONESIA,41.3,34.87
