Provinsi/Kabupaten/Kota/Indonesia,,
,Persentase penduduk usia 25 Tahun keatas dengan pendidikan SMA ke atas menurut jenis kelamin (Persen),
Kota Banjar,32.88,26.37
JAWA TENGAH,29.35,23.21
Cilacap,23.11,17.94
Banyumas,25.74,21.25
Purbalingga,22.42,15.21
Banjarnegara,14.98,12.87
Kebumen,26.89,19.75
Purworejo,32.79,22.39
Wonosobo,17.51,15.67
Magelang,30.12,24.81
Boyolali,35,25.74
Klaten,44.46,36.09
Sukoharjo,45.14,40.51
Wonogiri,23.85,18.16
Karanganyar,40.13,32.63
Sragen,30.79,24.67
Grobogan,16.05,9.82
Blora,21.58,14.96
Rembang,21.45,13.4
Pati,27.26,21.42
Kudus,41.73,31.59
Jepara,24.34,19.07
Demak,26.11,21.13
Semarang,31.89,26.92
Temanggung,20.21,18.19
Kendal,30.09,20.18
Batang,21.92,15.41
Pekalongan,17.98,15.62
Pemalang,18.78,14.1
Tegal,26.55,18.62
Brebes,17.09,13.67
Kota Magelang,56.57,49.79
Kota Surakarta,63.28,54.53
Kota Salatiga,60.67,51.63
Kota Semarang,63.49,53.04
Kota Pekalongan,33.58,34.32
Kota Tegal,37.98,31.82
D I YOGYAKARTA,53.01,44.07
Kulon Progo,42.76,36.34
Bantul,53.44,44.59
Gunung Kidul,28.68,21.53
Sleman,65.82,56.44
Kota Yogyakarta,72.17,62.16
JAWA TIMUR,32.11,23.95
Pacitan,22.2,17.48
Ponorogo,25.8,22.83
Trenggalek,21.85,18.33
Tulungagung,27.78,25.97
Blitar,24.3,21.85
Kediri,31.18,26.29
Malang,24.46,20
Lumajang,17.43,12.53
Jember,21.48,14.12
Banyuwangi,25.14,17.13
Bondowoso,20.82,13.68
Situbondo,25.89,14.51
Probolinggo,21.62,10.71
Pasuruan,26.56,20.59
Sidoarjo,57.07,49.71
Mojokerto,39.52,26.09
Jombang,39.03,27.41
Nganjuk,30.97,24.91
Madiun,34.53,25.23
Magetan,33.57,25.54
Ngawi,28.54,19.69
Bojonegoro,25.27,15.61
Tuban,22.94,13.38
Lamongan,35.05,24.52
Gresik,47.47,39.6
Bangkalan,19.79,11.19
Sampang,16.62,8.06
Pamekasan,31.65,17.5
Sumenep,23.92,10.13
Kota Kediri,54.61,42.81
Kota Blitar,53.14,44.05
Kota Malang,52.76,45.49
Kota Probolinggo,49.31,34.7
Kota Pasuruan,49.29,35.64
Kota Mojokerto,62.59,48.24
Kota Madiun,65.67,49.5
Kota Surabaya,51.64,41.76
Kota Batu,43.23,36.23
BANTEN,43.89,33.03
Pandeglang,20.01,12.34
Lebak,16.55,8.89
Tangerang,41.46,28.21
Serang,27,16.23
Kota Tangerang,65.39,53.54
Kota Cilegon,58.93,45.94
Kota Serang,35.5,30.9
Kota Tangerang Selatan,67.98,57.84
BALI,51.07,36.47
Jembrana,43.35,26.94
Tabanan,48.97,35.79
Badung,67.13,50.31
Gianyar,55.46,41.15
Klungkung,51.35,32.36
Bangli,35.46,24.13
Karangasem,27.02,16.52
Buleleng,33.78,22.06
Kota Denpasar,66.94,52.19
NUSA TENGGARA BARAT,35.61,24.37
Lombok Barat,30.32,17.25
Lombok Tengah,27.42,15.86
Lombok Timur,29.17,17.61
Sumbawa,35.51,29.29
Dompu,46.42,35.11
Bima,39.32,34.45
Sumbawa Barat,43.8,29.45
Lombok Utara,27.42,15.3
Kota Mataram,56.7,43
Kota Bima,64.35,57.27
NUSA TENGGARA TIMUR,30.63,24.4
Sumba Barat,29.5,24.49
Sumba Timur,26.41,21.6
Kupang,29.11,20.97
Timor Tengah Selatan,24.16,18.24
Timor Tengah Utara,27.93,20.73
Belu,28.48,23.35
Alor,31.91,23.29
Lembata,38.85,25.34
Flores Timur,30.16,22.31
Sikka,24.69,20.82
Ende,34,28.71
Ngada,30.47,29.21
Manggarai,27.41,21.73
Rote Ndao,30.9,27.05
Manggarai Barat,25.31,15.35
Sumba Tengah,25.13,21.85
Sumba Barat Daya,19.5,18.78
Nagekeo,27.39,28.36
Manggarai Timur,22.59,13.43
Sabu Raijua,16.48,20.65
Malaka,31.4,18.71
Kota Kupang,63.9,60.05
KALIMANTAN BARAT,30.75,24.5
Sambas,21.85,15.38
Bengkayang,24.77,18.19
Landak,25.04,21.17
Mempawah,26.69,23.34
Sanggau,27.9,19.44
Ketapang,26.01,20.05
Sintang,25.5,18.57
Kapuas Hulu,36.47,25.19
Sekadau,22.79,11.84
Melawi,26.11,17.97
Kayong Utara,21.73,14.04
Kubu Raya,28.85,24.27
Kota Pontianak,57.32,52.04
Kota Singkawang,37.16,32.24
KALIMANTAN TENGAH,35.99,29.96
Kotawaringin Barat,39.02,30.69
Kotawaringin Timur,29.93,27.23
Kapuas,25.98,19.87
Barito Selatan,38.97,29.53
Barito Utara,34.22,29.33
Sukamara,31.22,23.71
Lamandau,29.09,23.06
Seruyan,31.13,21.14
Katingan,36.29,26.44
Pulang Pisau,28.28,25.36
Gunung Mas,36.91,29.4
Barito Timur,43.26,36.03
Murung Raya,28.62,23.98
Kota Palangka Raya,64.69,60.28
KALIMANTAN SELATAN,36.27,28.29
Tanah Laut,24.99,20.91
Kotabaru,30.17,22.49
Banjar,29.1,19.49
Barito Kuala,28.52,23.99
Tapin,29.9,22.61
Hulu Sungai Selatan,28.57,24.23
Hulu Sungai Tengah,32.65,25.43
Hulu Sungai Utara,30.19,21.39
Tabalong,39.08,29.65
Tanah Bumbu,34.6,22.37
Balangan,30.44,19.26
Kota Banjarmasin,52.36,44.69
Kota Banjar Baru,65.11,53.7
KALIMANTAN TIMUR,52.32,43.3
Paser,39.94,26.6
Kutai Barat,38.4,30.05
Kutai Kartanegara,44.18,32.54
Kutai Timur,45.86,38.34
Berau,46.67,39.72
Penajam Paser Utara,39.88,27.87
Mahakam Ulu,30.69,26.26
Kota Balikpapan,65.91,57.74
Kota Samarinda,59.77,52
Kota Bontang,68.66,56.67
KALIMANTAN UTARA,45.39,37.82
Malinau,52.6,41.05
Bulungan,42.61,33.31
Tana Tidung,46.93,27.81
Nunukan,33.3,27.61
Kota Tarakan,53.86,47.7
SULAWESI UTARA,43.98,43.14
Bolaang Mongondow,24.36,21.18
Minahasa,46.41,48.21
Kepulauan Sangihe,31.44,34.09
Kepulauan Talaud,37.65,38.22
Minahasa Selatan,35.58,35.63
Minahasa Utara,52.82,52.31
Bolaang Mongondow Utara,27.24,33.56
Siau Tagulandang Biaro,33.07,36.72
Minahasa Tenggara,37.35,40
Bolaang Mongondow Selatan,22.9,22.25
Bolaang Mongondow Timur,28.75,21.65
Kota Manado,65.56,56.88
Kota Bitung,49.45,44.81
Kota Tomohon,50.97,56.88
Kota Kotamobagu,49.53,51.54
SULAWESI TENGAH,37.82,32.47
Banggai Kepulauan,30.69,25.89
Banggai,33.71,27.71
Morowali,45.71,34.65
Poso,44.33,37.79
Donggala,29.18,20.81
Toli-Toli,37.16,31.68
Buol,38.07,31.9
Parigi Moutong,23.15,22.03
Tojo Una-Una,31.86,27.91
Sigi,37.34,30.87
Banggai Laut,38.05,27.3
Morowali Utara,34.96,29.19
Kota Palu,67.8,62.4
SULAWESI SELATAN,38.4,32.77
Kepulauan Selayar,31.98,29.52
Bulukumba,31.31,28.86
Bantaeng,28.64,26.22
Jeneponto,26.15,22.59
Takalar,29.32,25.07
Gowa,35.41,30.9
Sinjai,26.31,27.01
Maros,40.38,26.5
Pangkajene dan Kepulauan,33.71,27.42
Barru,29.37,28.97
Bone,29.08,25.03
Soppeng,32.26,30.84
Wajo,22.15,16.86
Sidenreng Rappang,32.1,26.73
Pinrang,35.71,28.1
Enrekang,44.91,37.81
Luwu,35.46,29.49
Tana Toraja,37.8,33.23
Luwu Utara,28.43,22.66
Luwu Timur,42.21,34.18
Toraja Utara,37.66,33.89
Kota Makasar,61.48,54.71
Kota Parepare,59.39,50.22
Kota Palopo,58.46,55.08
SULAWESI TENGGARA,45.08,37.37
Buton,43.38,32.42
Muna,51.93,34.95
Konawe,44.63,38.33
Kolaka,43.11,35.91
Konawe Selatan,32.78,26.15
Bombana,30.43,23.97
Wakatobi,35.85,27.36
Kolaka Utara,30.13,28.98
Buton Utara,45.71,31.25
Konawe Utara,41.29,36.3
Kolaka Timur,43.86,37.01
Konawe Kepulauan,46.57,39.75
Muna Barat,29.25,18.65
Buton Tengah,45.8,46.83
Buton Selatan,31.79,17.68
Kota Kendari,69.57,62.31
Kota Baubau,64.2,55.35
GORONTALO,27.37,30.2
Boalemo,16.62,23.19
Gorontalo,20.27,23.29
Pohuwato,21.53,25.16
Bone Bolango,31.06,33.37
Gorontalo Utara,19.8,18.65
Kota Gorontalo,54.33,54.26
SULAWESI BARAT,32.58,28.82
Majene,39.57,33.45
Polewali Mandar,29.54,27.62
Mamasa,35.04,29.76
Mamuju,35.52,32.07
Mamuju Utara / Pasangkayu,34.27,26.64
Mamuju Tengah,23.08,21.69
MALUKU,50.54,45.51
Maluku Tenggara Barat / Kepulauan Tanimbar,44.24,43.56
Maluku Tenggara,51.91,41.67
Maluku Tengah,45.36,40.27
Buru,40.48,33.42
Kepulauan Aru,37.78,32.11
Seram Bagian Barat,43.92,39.83
Seram Bagian Timur,35.35,26.28
Maluku Barat Daya,28.9,23.73
Buru Selatan,32.3,28.1
Kota Ambon,70.7,67.34
Kota Tual,61.74,52.18
MALUKU UTARA,43.06,34.27
Halmahera Barat,31.25,27.56
Halmahera Tengah,42.57,32.94
Kepulauan Sula,42.3,33.53
Halmahera Selatan,31.4,19.13
Halmahera Utara,38.79,31.47
Halmahera Timur,40.2,24.53
Pulau Morotai,29.76,19.67
Pulau Taliabu,24.95,17.53
Kota Ternate,69.02,61.87
Kota Tidore Kepulauan,50.67,42.31
PAPUA BARAT,54.68,44.35
Fakfak,53.32,45.3
Kaimana,56.31,45.99
Teluk Wondama,48.09,40.1
Teluk Bintuni,52.59,39.61
Manokwari,58.54,46.01
Sorong Selatan,41.81,30.05
Sorong,38.53,29.27
Raja Ampat,46.64,32.56
Tambrauw,56.27,39.23
Maybrat,54.27,46.63
Manokwari Selatan,53.3,40.79
Pegunungan Arfak,45.81,19.53
Kota Sorong,64.05,56.87
PAPUA BARAT DAYA,-,-
Raja Ampat,-,-
Sorong,-,-
Sorong Selatan,-,-
Maybrat,-,-
Tambrauw,-,-
Kota Sorong,-,-
PAPUA,36.66,25.44
Merauke,40.07,36.77
Jayawijaya,31.16,16.87
Jayapura,59.47,46.42
Nabire,51.31,45.74
Kepulauan Yapen,55.55,40.44
Biak Numfor,55.82,43.51
Paniai,24.69,9.53
Puncak Jaya,12.42,5.87
Mimika,62.01,50.63
Boven Digoel,49.84,38.85
Mappi,21.97,12.54
Asmat,14.64,7.41
Yahukimo,13.45,2.74
Pegunungan Bintang,35.7,18.81
Tolikara,22.75,7.47
Sarmi,41.09,38.62
Keerom,46.76,32.21
Waropen,53.25,42.66
Supiori,47.94,30.92
Mamberamo Raya,26.05,13.95
Nduga,9.04,2.97
Lanny Jaya,22.86,7.8
Mamberamo Tengah,24.92,2.24
Yalimo,20.92,10.24
Puncak,8.31,1.75
Dogiyai,11.13,3.65
Intan Jaya,13.74,3.59
Deiyai,16.36,3.2
Kota Jayapura,71.53,65.84
PAPUA SELATAN,-,-
Merauke,-,-
Boven Digoel,-,-
Mappi,-,-
Asmat,-,-
PAPUA TENGAH,-,-
Mimika,-,-
Dogiyai,-,-
Deiyai,-,-
Nabire,-,-
Paniai,-,-
Intan Jaya,-,-
Puncak,-,-
Puncak Jaya,-,-
PAPUA PEGUNUNGAN,-,-
Nduga,-,-
Jayawijaya,-,-
Lanny Jaya,-,-
Tolikara,-,-
Mamberamo Tengah,-,-
Yalimo,-,-
Yahukimo,-,-
Pegunungan Bintang,-,-
INDONESIA,38.27,30.99
