Provinsi/Kabupaten/Kota/Indonesia,,
,Persentase penduduk usia 25 Tahun keatas dengan pendidikan SMA ke atas menurut jenis kelamin (Persen),
,Laki-laki,Perempuan
,2018,2018
ACEH,45.33,37.31
Simeulue,42.92,36.5
Aceh Singkil,45.39,32.93
Aceh Selatan,36.96,31.29
Aceh Tenggara,53.38,38.39
Aceh Timur,32.96,21.31
Aceh Tengah,45.47,42.41
Aceh Barat,44.69,39.82
Aceh Besar,53.26,46.11
Pidie,43.62,34.51
Bireuen,39.19,35.81
Aceh Utara,34.87,23.92
Aceh Barat Daya,33.92,32.14
Gayo Lues,40.13,28.92
Aceh Tamiang,41.68,35.66
Nagan Raya,38.97,30.23
Aceh Jaya,34.53,29.83
Bener Meriah,44.11,38.14
Pidie Jaya,39.9,35.24
Kota Banda Aceh,82.91,71.8
Kota Sabang,69.61,65.42
Kota Langsa,65.49,61.99
Kota Lhokseumawe,65.11,58.06
Kota Subulussalam,36.82,29.18
SUMATERA UTARA,47.52,43.23
Nias,20.68,10.18
Mandailing Natal,30.64,25.21
Tapanuli Selatan,36.98,32.39
Tapanuli Tengah,34.87,30.34
Tapanuli Utara,49.17,48.49
Toba Samosir / Toba,58.93,56.19
Labuhan Batu,40.32,38.79
Asahan,36.77,33.3
Simalungun,44.95,42.65
Dairi,44.89,42.02
Karo,45.79,47.63
Deli Serdang,52.16,46.94
Langkat,37.2,30.82
Nias Selatan,29.76,17.85
Humbang Hasundutan,49.08,40.53
Pakpak Bharat,37.08,32.69
Samosir,49.59,47.09
Serdang Bedagai,36.69,32.1
Batu Bara,32.55,28.98
Padang Lawas Utara,43.44,36.15
Padang Lawas,35.02,32.82
Labuhan Batu Selatan,35.08,34.01
Labuhan Batu Utara,32.56,28
Nias Utara,30.68,14.41
Nias Barat,32.44,16.63
Kota Sibolga,52.46,50.79
Kota Tanjung Balai,47.15,45.41
Kota Pematang Siantar,67.21,62.82
Kota Tebing Tinggi,57.44,52.97
Kota Medan,68.56,64.97
Kota Binjai,62.67,56.53
Kota Padangsidimpuan,59.46,57.54
Kota Gunungsitoli,47.9,36.67
SUMATERA BARAT,40.42,40.32
Kepulauan Mentawai,32.5,31.93
Pesisir Selatan,32.55,33.64
Solok,29.52,30.8
Sijunjung,31.35,28.39
Tanah Datar,36.67,38.32
Padang Pariaman,30.92,29.03
Agam,37.89,40.96
Lima Puluh Kota,24.67,29.3
Pasaman,21.17,23.91
Solok Selatan,34.46,36.8
Dharmasraya,33.56,32.81
Pasaman Barat,31.14,28.81
Kota Padang,67.95,63.65
Kota Solok,57.85,64.87
Kota Sawah Lunto,46.65,47.53
Kota Padang Panjang,60.14,65.2
Kota Bukittinggi,63.55,64.72
Kota Payakumbuh,51.42,55.5
Kota Pariaman,57.55,54.58
RIAU,43.4,38.97
Kuantan Singingi,35.3,32.26
Indragiri Hulu,35.24,33.18
Indragiri Hilir,25.61,20.18
Pelalawan,38.38,32.45
Siak,51.35,47.67
Kampar,40.48,35.19
Rokan Hulu,36.15,29.04
Bengkalis,49.67,43.1
Rokan Hilir,35,30.93
Kepulauan Meranti,30.69,26.45
Kota Pekanbaru,66.43,64.96
Kota Dumai,55.8,48.92
JAMBI,37.97,31.08
Kerinci,38.59,26.91
Merangin,32.45,25.14
Sarolangun,30.78,24.18
Batang Hari,34.99,26.14
Muaro Jambi,32.7,30
Tanjung Jabung Timur,20.84,16.6
Tanjung Jabung Barat,30.58,23.01
Tebo,25.82,21.11
Bungo,36.94,25.74
Kota Jambi,64.71,57.37
Kota Sungai Penuh,59.29,51.8
SUMATERA SELATAN,33.99,29.1
Ogan Komering Ulu,38.23,35.61
Ogan Komering Ilir,21.25,15.98
Muara Enim,33.52,23.79
Lahat,36.65,33.2
Musi Rawas,25.11,17.32
Musi Banyuasin,25.79,19.99
Banyu Asin,24.26,18.39
Ogan Komering Ulu Selatan,23.61,20.97
Ogan Komering Ulu Timur,24.59,21.21
Ogan Ilir,28.65,21.69
Empat Lawang,22.24,18.72
Penukal Abab Lematang Ilir,27.85,15.52
Musi Rawas Utara,22.52,13.64
Kota Palembang,56.13,52.84
Kota Prabumulih,54.33,46.41
Kota Pagar Alam,40.61,41.95
Kota Lubuklinggau,49.57,42.04
BENGKULU,39.34,34.52
Bengkulu Selatan,44.69,41.11
Rejang Lebong,32.97,28.25
Bengkulu Utara,28,25.72
Kaur,39.19,35.06
Seluma,33.51,26.29
Mukomuko,30.38,25.52
Lebong,35.33,26.91
Kepahiang,35.29,25.11
Bengkulu Tengah,28.33,22.78
Kota Bengkulu,65.1,61.73
LAMPUNG,30.71,25.82
Lampung Barat,26.1,20.71
Tanggamus,23.13,18.69
Lampung Selatan,27.92,22.84
Lampung Timur,26.28,20.55
Lampung Tengah,28.66,20.67
Lampung Utara,30.07,26.49
Way Kanan,20.15,17.83
Tulangbawang,24.98,20.17
Pesawaran,28.27,22.53
Pringsewu,28.9,26.28
Mesuji,15.61,13.19
Tulang Bawang Barat,18.07,15.72
Pesisir Barat,28.01,25.85
Kota Bandar Lampung,58.82,53.5
Kota Metro,62.28,55.16
KEP. BANGKA BELITUNG,34.41,29.73
Bangka,34.22,32.11
Belitung,35.37,29.98
Bangka Barat,30.4,25.66
Bangka Tengah,24.69,20.88
Bangka Selatan,24.24,14.4
Belitung Timur,34.03,30.77
Kota Pangkal Pinang,56.22,49.63
KEPULAUAN RIAU,57.96,55
Karimun,33.78,31.44
Bintan,35.62,36.92
Natuna,48.27,36.46
Lingga,25.12,23.74
Kepulauan Anambas,26.76,22.78
Kota Batam,69.1,67.11
Kota Tanjung Pinang,58.54,50.47
DKI JAKARTA,67.71,58.38
Kep. Seribu,38.9,34.5
Kota Jakarta Selatan,72.98,64.23
Kota Jakarta Timur,71.79,63.89
Kota Jakarta Pusat,68.97,57.41
Kota Jakarta Barat,61.36,50.85
Kota Jakarta Utara,62.95,53.23
JAWA BARAT,36.55,28.63
Bogor,34.8,25.91
Sukabumi,20.35,12.28
Cianjur,19.1,14.41
Bandung,38.21,28.39
Garut,26.23,18.59
Tasikmalaya,14.15,11.1
Ciamis,22.46,16.8
Kuningan,24.47,19.43
Cirebon,25.11,17.8
Majalengka,19.45,12.3
Sumedang,30.6,24.14
Indramayu,18.11,10.11
Subang,22.81,15.56
Purwakarta,31.71,25.25
Karawang,34.36,24.36
Bekasi,48.6,41.01
Bandung Barat,31,21.16
Pangandaran,23.4,17.07
Kota Bogor,52.97,42.34
Kota Sukabumi,49.28,37.45
Kota Bandung,59.77,54.13
Kota Cirebon,52.94,47.46
Kota Bekasi,70.44,60.95
Kota Depok,65.93,54.63
Kota Cimahi,59.27,57.09
Kota Tasikmalaya,40.31,32.05
