Provinsi/Kabupaten/Kota/Indonesia,,
,Persentase penduduk usia 25 Tahun keatas dengan pendidikan SMA ke atas menurut jenis kelamin (Persen),
Ngawi,28.46,22.94
Bojonegoro,33.09,24.28
Tuban,25.73,21.22
Lamongan,36.09,30.35
Gresik,49.89,37.11
Bangkalan,26.33,17.86
Sampang,23.61,16.29
Pamekasan,33.67,25.27
Sumenep,29.45,18.61
Kota Kediri,57.87,45.4
Kota Blitar,56.45,41.02
Kota Malang,56.54,51.32
Kota Probolinggo,48.85,30.92
Kota Pasuruan,50.69,34.89
Kota Mojokerto,63.63,41.49
Kota Madiun,60.28,49.38
Kota Surabaya,59.56,51.64
Kota Batu,41.74,30.35
BANTEN,46.57,37.26
Pandeglang,24.02,18.05
Lebak,19.07,15.97
Tangerang,43.4,31.92
Serang,30.6,21.45
Kota Tangerang,65.36,57.28
Kota Cilegon,59.1,45.4
Kota Serang,43.64,34.7
Kota Tangerang Selatan,71.18,59.93
BALI,54.37,41.58
Jembrana,43.4,30.15
Tabanan,49.95,38.23
Badung,64.51,53.57
Gianyar,56.25,43.81
Klungkung,45.54,32.81
Bangli,33.88,23.38
Karangasem,33.7,20.92
Buleleng,43.34,26.99
Kota Denpasar,74.62,65.1
NUSA TENGGARA BARAT,39.83,24.2
Lombok Barat,34.63,18.06
Lombok Tengah,32.76,13.9
Lombok Timur,33.72,17.5
Sumbawa,37.92,26.43
Dompu,47.96,38.79
Bima,46.56,25.31
Sumbawa Barat,47.03,37.55
Lombok Utara,34.37,20.71
Kota Mataram,57.12,48.16
Kota Bima,66.67,58.89
NUSA TENGGARA TIMUR,36.03,26.73
Sumba Barat,35.1,30.53
Sumba Timur,34.64,30.25
Kupang,32.48,17.52
Timor Tengah Selatan,31.82,15.33
Timor Tengah Utara,36.85,25.77
Belu,32.45,25.71
Alor,40.07,28.67
Lembata,37.38,26.17
Flores Timur,35.04,25.08
Sikka,34.17,26.79
Ende,37.95,30.28
Ngada,32.15,32.16
Manggarai,33.95,21.56
Rote Ndao,35.91,28
Manggarai Barat,28.88,15.66
Sumba Tengah,32.78,32.04
Sumba Barat Daya,29.3,23.53
Nagekeo,28.04,27.78
Manggarai Timur,24.56,12.93
Sabu Raijua,27.17,26.4
Malaka,27.98,25.22
Kota Kupang,70.66,63.46
KALIMANTAN BARAT,32.95,27.4
Sambas,25.07,19.06
Bengkayang,31.44,23.22
Landak,28.61,28.87
Mempawah,30,26.7
Sanggau,30.11,25.12
Ketapang,29.92,21.01
Sintang,27.84,24.33
Kapuas Hulu,31.45,25.38
Sekadau,26.61,19.61
Melawi,28.58,22.1
Kayong Utara,20.97,22.57
Kubu Raya,30.31,25.66
Kota Pontianak,58.61,49.33
Kota Singkawang,36.37,32.1
KALIMANTAN TENGAH,33.93,29.39
Kotawaringin Barat,32.67,24.93
Kotawaringin Timur,23.03,21.93
Kapuas,25.14,19.58
Barito Selatan,41.33,32.21
Barito Utara,39.47,32.66
Sukamara,38.14,28.81
Lamandau,34.42,27.64
Seruyan,26.34,21.45
Katingan,32.67,26.9
Pulang Pisau,30.96,28.82
Gunung Mas,38.09,35.45
Barito Timur,43.15,35.66
Murung Raya,30.89,26.79
Kota Palangka Raya,59.91,58.41
KALIMANTAN SELATAN,36.39,30
Tanah Laut,30.53,25.17
Kotabaru,31.24,19.72
Banjar,29.94,20.12
Barito Kuala,25.48,19.93
Tapin,34.62,24.67
Hulu Sungai Selatan,28.18,27.69
Hulu Sungai Tengah,31.51,25.98
Hulu Sungai Utara,28.47,23.23
Tabalong,45.14,38.99
Tanah Bumbu,31.52,26
Balangan,32.72,23.76
Kota Banjarmasin,52.37,45.71
Kota Banjar Baru,57.1,56.54
KALIMANTAN TIMUR,56.59,43.36
Paser,40.85,28.63
Kutai Barat,44.29,31.35
Kutai Kartanegara,54.04,35.82
Kutai Timur,49.62,38.45
Berau,56.44,40.21
Penajam Paser Utara,38.22,31.55
Mahakam Ulu,36.45,36.52
Kota Balikpapan,67.57,56.56
Kota Samarinda,61.95,47.83
Kota Bontang,73.17,60.02
KALIMANTAN UTARA,44.53,38.95
Malinau,48.36,39.83
Bulungan,45.17,37.75
Tana Tidung,38.52,31.1
Nunukan,34.9,33.75
Kota Tarakan,51.64,43.96
SULAWESI UTARA,45.88,44.83
Bolaang Mongondow,24.11,25.93
Minahasa,45.7,46.79
Kepulauan Sangihe,34.53,32.16
Kepulauan Talaud,46.21,43.55
Minahasa Selatan,39.48,43.47
Minahasa Utara,53.81,50.43
Bolaang Mongondow Utara,31.16,32.88
Siau Tagulandang Biaro,36.4,41.34
Minahasa Tenggara,31.73,35.1
Bolaang Mongondow Selatan,23.91,24.61
Bolaang Mongondow Timur,24.83,27.88
Kota Manado,69.44,60.62
Kota Bitung,53.5,46.53
Kota Tomohon,56.19,62.37
Kota Kotamobagu,50.08,46.25
SULAWESI TENGAH,39.75,29.87
Banggai Kepulauan,35.74,32.72
Banggai,40.06,26.6
Morowali,44.99,38
Poso,44.6,37.16
Donggala,29.84,21.85
Toli-Toli,35.41,28.16
Buol,36.94,32.78
Parigi Moutong,25.67,19.31
Tojo Una-Una,30.99,25.86
Sigi,40.9,28.41
Banggai Laut,38.04,27.8
Morowali Utara,42.96,32.03
Kota Palu,67.6,46.65
SULAWESI SELATAN,41.73,36.34
Kepulauan Selayar,37.01,35.15
Bulukumba,36.16,33.75
Bantaeng,30.36,27.58
Jeneponto,28.22,27.69
Takalar,34.22,32.49
Gowa,42.77,34.58
Sinjai,33.8,34.68
Maros,45.73,31.89
Pangkajene dan Kepulauan,38.08,29.76
Barru,38.54,37.22
Bone,30.84,22.43
Soppeng,31.8,32.11
Wajo,27.84,21.92
Sidenreng Rappang,33.92,28.84
Pinrang,30.57,28.92
Enrekang,43.65,43.25
Luwu,39.65,37.92
Tana Toraja,44.2,41.18
Luwu Utara,32.41,28.13
Luwu Timur,47.56,41.15
Toraja Utara,41.31,40.03
Kota Makasar,62.95,56.32
Kota Parepare,59.9,51.15
Kota Palopo,58.22,57.34
SULAWESI TENGGARA,45.47,37.08
Buton,43.51,31.09
Muna,40.56,32.39
Konawe,42.6,30.36
Kolaka,42.08,34.93
Konawe Selatan,27.04,20.46
Bombana,37.56,29.81
Wakatobi,41.3,31.68
Kolaka Utara,35.66,33.76
Buton Utara,49.39,37.49
Konawe Utara,47.32,42.49
Kolaka Timur,40.76,33.34
Konawe Kepulauan,48.18,40.72
Muna Barat,33.46,24.72
Buton Tengah,37.49,24.06
Buton Selatan,38.77,24.3
Kota Kendari,76.53,69.21
Kota Baubau,62.87,56.9
GORONTALO,30.26,34.89
Boalemo,28.63,30.98
Gorontalo,21.32,29.48
Pohuwato,24.84,27.41
Bone Bolango,33.61,37.21
Gorontalo Utara,27.11,26.67
Kota Gorontalo,50.24,54.43
SULAWESI BARAT,34.44,30.57
Majene,39.2,33.99
Polewali Mandar,29.99,28.82
Mamasa,40.26,34.59
Mamuju,38.27,33.22
Mamuju Utara / Pasangkayu,32.93,28.25
Mamuju Tengah,30.42,24.72
MALUKU,53.05,49.64
Maluku Tenggara Barat / Kepulauan Tanimbar,48.24,49.54
Maluku Tenggara,52.67,50.57
Maluku Tengah,53.33,51.32
Buru,48.41,41.23
Kepulauan Aru,41.87,40.95
Seram Bagian Barat,45.07,40.68
Seram Bagian Timur,42.65,36.15
Maluku Barat Daya,36.73,36.16
Buru Selatan,39.05,35.01
Kota Ambon,65.19,61.37
Kota Tual,60.83,50.87
MALUKU UTARA,43.43,35.03
Halmahera Barat,42.49,32.68
Halmahera Tengah,45.84,37.55
Kepulauan Sula,41.79,34.58
Halmahera Selatan,22.87,16.67
Halmahera Utara,38.76,27.5
Halmahera Timur,39.67,31.41
Pulau Morotai,29.49,22.47
Pulau Taliabu,31.18,23.87
Kota Ternate,73.76,62.31
Kota Tidore Kepulauan,46.67,43.58
PAPUA BARAT,58.61,45.03
Fakfak,57.99,51.19
Kaimana,49.64,43.38
Teluk Wondama,56.68,44.37
Teluk Bintuni,52.51,47.13
Manokwari,63.77,36.2
Sorong Selatan,43.2,37.47
Sorong,49.95,40.59
Raja Ampat,47.36,36.86
Tambrauw,39.32,29.86
Maybrat,57.9,39.79
Manokwari Selatan,54.01,41.91
Pegunungan Arfak,43.48,18.42
Kota Sorong,69.97,58.33
PAPUA BARAT DAYA,-,-
Raja Ampat,-,-
Sorong,-,-
Sorong Selatan,-,-
Maybrat,-,-
Tambrauw,-,-
Kota Sorong,-,-
PAPUA,35.96,28.86
Merauke,38.63,40.69
Jayawijaya,25.23,23.97
Jayapura,63.34,54.28
Nabire,54.49,49.82
Kepulauan Yapen,54.7,45.07
Biak Numfor,58.62,51.45
Paniai,23.54,8.47
Puncak Jaya,15.43,5.96
Mimika,51.94,56.86
Boven Digoel,49.77,36.21
Mappi,28.94,16.02
Asmat,25.11,13.41
Yahukimo,16.84,5.43
Pegunungan Bintang,23.85,12.27
Tolikara,23.95,5.95
Sarmi,46.43,42.57
Keerom,43.74,31.93
Waropen,56.15,41.51
Supiori,50.8,35.55
Mamberamo Raya,27.49,13.91
Nduga,8.16,3.18
Lanny Jaya,18.58,3.69
Mamberamo Tengah,27.36,11.75
Yalimo,36.67,26.67
Puncak,14.75,6.86
Dogiyai,15.07,5.51
Intan Jaya,23.33,3.46
Deiyai,17.69,12.04
Kota Jayapura,61.05,69.86
PAPUA SELATAN,-,-
Merauke,-,-
Boven Digoel,-,-
Mappi,-,-
Asmat,-,-
PAPUA TENGAH,-,-
Mimika,-,-
Dogiyai,-,-
Deiyai,-,-
Nabire,-,-
Paniai,-,-
Intan Jaya,-,-
Puncak,-,-
Puncak Jaya,-,-
PAPUA PEGUNUNGAN,-,-
Nduga,-,-
Jayawijaya,-,-
Lanny Jaya,-,-
Tolikara,-,-
Mamberamo Tengah,-,-
Yalimo,-,-
Yahukimo,-,-
Pegunungan Bintang,-,-
INDONESIA,41.63,34.63
