Provinsi/Kabupaten/Kota/Indonesia,,
,Persentase penduduk usia 25 Tahun keatas dengan pendidikan SMA ke atas menurut jenis kelamin (Persen),
,Laki-laki,Perempuan
,2020,2020
ACEH,46.56,42.71
Simeulue,52.52,38.98
Aceh Singkil,43.02,34.85
Aceh Selatan,43.19,39.94
Aceh Tenggara,52.33,42.04
Aceh Timur,35.48,26.81
Aceh Tengah,52.1,44.58
Aceh Barat,46.37,43.88
Aceh Besar,49.92,50.32
Pidie,43.71,40.18
Bireuen,40.43,42.06
Aceh Utara,38.63,37.51
Aceh Barat Daya,41.03,39.64
Gayo Lues,47.63,37.5
Aceh Tamiang,37.29,37.82
Nagan Raya,48.04,45.34
Aceh Jaya,36.87,36.76
Bener Meriah,46.04,40.18
Pidie Jaya,44.91,40.6
Kota Banda Aceh,74.18,69.63
Kota Sabang,65.54,59.36
Kota Langsa,62.72,57.01
Kota Lhokseumawe,61.19,55.89
Kota Subulussalam,48.16,41.81
SUMATERA UTARA,51.77,46.86
Nias,33.66,15.47
Mandailing Natal,39.7,32.79
Tapanuli Selatan,44.94,38.28
Tapanuli Tengah,39.06,36.33
Tapanuli Utara,52.61,49.88
Toba Samosir / Toba,60.02,55.46
Labuhan Batu,43.87,40.3
Asahan,41.34,41.64
Simalungun,53.6,52.85
Dairi,47.28,46.69
Karo,56.71,54.28
Deli Serdang,57.45,51.69
Langkat,38.3,34.49
Nias Selatan,34.01,25.63
Humbang Hasundutan,45,45.66
Pakpak Bharat,46.88,41.72
Samosir,58.05,49
Serdang Bedagai,38.44,36.32
Batu Bara,37.12,33.48
Padang Lawas Utara,47.16,42.61
Padang Lawas,39.77,37.27
Labuhan Batu Selatan,41.07,38.11
Labuhan Batu Utara,40.83,34.1
Nias Utara,32.83,17.69
Nias Barat,38.1,22.61
Kota Sibolga,53.43,55.89
Kota Tanjung Balai,46.3,45.9
Kota Pematang Siantar,67.74,63.23
Kota Tebing Tinggi,58.53,54.28
Kota Medan,70.71,61.56
Kota Binjai,66.99,60.72
Kota Padangsidimpuan,62.94,61
Kota Gunungsitoli,52.01,35.4
SUMATERA BARAT,44.68,44.78
Kepulauan Mentawai,32.26,24.28
Pesisir Selatan,41,40.71
Solok,28.03,29.13
Sijunjung,32.44,33.11
Tanah Datar,39.89,44.33
Padang Pariaman,37.05,35.17
Agam,43.07,44.59
Lima Puluh Kota,30.27,33.91
Pasaman,31.84,33.67
Solok Selatan,36.6,38.74
Dharmasraya,40.35,35.81
Pasaman Barat,35.44,35.32
Kota Padang,70.02,69.31
Kota Solok,60.86,63.25
Kota Sawah Lunto,53.54,53.43
Kota Padang Panjang,65.41,68.53
Kota Bukittinggi,64.3,66.41
Kota Payakumbuh,60.29,57.36
Kota Pariaman,56.91,56.52
RIAU,45.76,42.85
Kuantan Singingi,35.61,34.73
Indragiri Hulu,37.6,33.34
Indragiri Hilir,25.49,25
Pelalawan,41.03,37.7
Siak,50.71,47.83
Kampar,44.8,39.44
Rokan Hulu,34.71,29.74
Bengkalis,55.4,47.92
Rokan Hilir,34.85,34.14
Kepulauan Meranti,31.21,27.65
Kota Pekanbaru,73.94,73.93
Kota Dumai,58.31,51.6
JAMBI,38.96,33.33
Kerinci,45.21,35.38
Merangin,28.49,23.32
Sarolangun,33.54,25.97
Batang Hari,35.84,32.44
Muaro Jambi,36.52,29.47
Tanjung Jabung Timur,20.8,18.08
Tanjung Jabung Barat,28.45,22.26
Tebo,28.57,22.65
Bungo,39.85,30.27
Kota Jambi,64.75,60.53
Kota Sungai Penuh,60.1,53.31
SUMATERA SELATAN,38.41,33.03
Ogan Komering Ulu,39.95,31.01
Ogan Komering Ilir,24.78,19.6
Muara Enim,35.93,29.57
Lahat,40.14,35.15
Musi Rawas,26.47,22.43
Musi Banyuasin,29.08,24.16
Banyu Asin,28.66,24.31
Ogan Komering Ulu Selatan,26.3,21.09
Ogan Komering Ulu Timur,31.74,25.52
Ogan Ilir,29.17,27.08
Empat Lawang,30.04,25.59
Penukal Abab Lematang Ilir,33.5,23.02
Musi Rawas Utara,31.29,19.25
Kota Palembang,62.89,57.12
Kota Prabumulih,55.13,47.5
Kota Pagar Alam,44.74,43.26
Kota Lubuklinggau,54.33,49.06
BENGKULU,42.29,37.62
Bengkulu Selatan,45.39,40.63
Rejang Lebong,37.97,31.54
Bengkulu Utara,31.23,28.13
Kaur,41.01,34.82
Seluma,32.31,27.61
Mukomuko,36.14,30.88
Lebong,36.11,26.86
Kepahiang,35.77,35.65
Bengkulu Tengah,34.59,24.55
Kota Bengkulu,69.72,65.55
LAMPUNG,33.67,28.33
Lampung Barat,29.87,25.62
Tanggamus,24.22,20.62
Lampung Selatan,32.45,23.99
Lampung Timur,30.38,23.47
Lampung Tengah,30.49,22.96
Lampung Utara,32.32,29.43
Way Kanan,28.03,20.95
Tulangbawang,26.83,20.49
Pesawaran,29.02,23.88
Pringsewu,33.26,28.12
Mesuji,20.52,14.22
Tulang Bawang Barat,21.21,21.27
Pesisir Barat,31.48,26.74
Kota Bandar Lampung,59.59,56.69
Kota Metro,61.56,60.51
KEP. BANGKA BELITUNG,37.17,34.45
Bangka,37.84,36.52
Belitung,41.96,35.95
Bangka Barat,33.61,28.19
Bangka Tengah,27.72,28.61
Bangka Selatan,23.85,20.52
Belitung Timur,35.05,34.73
Kota Pangkal Pinang,57.71,52.58
KEPULAUAN RIAU,60.64,60.83
Karimun,38.6,37.01
Bintan,50.97,47.35
Natuna,44.32,38.83
Lingga,28.4,24.67
Kepulauan Anambas,38.47,35.09
Kota Batam,69.79,71.65
Kota Tanjung Pinang,58.72,59.27
DKI JAKARTA,68.96,58.13
Kep. Seribu,40.92,31.58
Kota Jakarta Selatan,72.77,64
Kota Jakarta Timur,71.81,62.16
Kota Jakarta Pusat,72.81,63.44
Kota Jakarta Barat,63.24,51.42
Kota Jakarta Utara,65.89,50.93
JAWA BARAT,40.59,32.48
Bogor,36.95,28.56
Sukabumi,25.41,15.31
Cianjur,24.14,15.85
Bandung,39.45,34.29
Garut,27.05,21.14
Tasikmalaya,20.89,15.04
Ciamis,23.34,17.4
Kuningan,28.45,21.92
Cirebon,31.2,24.27
Majalengka,28.41,18.66
Sumedang,36.45,31.62
Indramayu,27.8,19.33
Subang,28.51,19.66
Purwakarta,38.14,27.64
Karawang,35.91,25.76
Bekasi,56.34,46.21
Bandung Barat,34.88,24.94
Pangandaran,27.74,18.05
Kota Bogor,54.99,47.28
Kota Sukabumi,47.51,38.92
Kota Bandung,60.74,54.21
Kota Cirebon,58.13,46.62
Kota Bekasi,70.38,61.56
Kota Depok,70.83,62.52
Kota Cimahi,64.04,55.76
Kota Tasikmalaya,43.23,37.11
Kota Banjar,34.91,28.5
JAWA TENGAH,32.85,26.97
Cilacap,27.02,22.78
Banyumas,30.51,25.85
Purbalingga,24.12,20.94
Banjarnegara,20.49,17.72
Kebumen,29.34,23
Purworejo,37.04,33.25
Wonosobo,18.38,17.62
Magelang,31.24,27.59
Boyolali,37.86,30.38
Klaten,50.41,38.84
Sukoharjo,51.17,43.87
Wonogiri,29.09,23.07
Karanganyar,42.27,33.46
Sragen,36.86,28.75
Grobogan,20.44,14.61
Blora,27.46,20.05
Rembang,25.25,18.81
Pati,30.27,23.94
Kudus,41.14,33.84
Jepara,28.6,22.49
Demak,28.2,24.3
Semarang,35.98,26.87
Temanggung,24.49,22.55
Kendal,33.62,25.24
Batang,25.2,16.69
Pekalongan,21.39,19.48
Pemalang,22.23,16.79
Tegal,30.51,19.37
Brebes,19.32,16.12
Kota Magelang,62.6,58.67
Kota Surakarta,65.63,58.52
Kota Salatiga,58.32,51.62
Kota Semarang,64.22,56.97
Kota Pekalongan,39.11,39.06
Kota Tegal,41.59,37.48
D I YOGYAKARTA,53.53,47.7
Kulon Progo,49.52,42.79
Bantul,51.34,45.74
Gunung Kidul,30.72,24.22
Sleman,66.77,62.41
Kota Yogyakarta,68.22,63.68
JAWA TIMUR,37,29.85
Pacitan,28.15,18.08
Ponorogo,31.18,28.95
Trenggalek,25.13,22.5
Tulungagung,33.25,30.24
Blitar,27.55,26.41
Kediri,34.59,31.89
Malang,30.97,27.32
Lumajang,24.67,16.91
Jember,30.89,22.87
Banyuwangi,31.47,25.6
Bondowoso,25.67,18.77
Situbondo,33.24,22.27
Probolinggo,26.57,19.57
Pasuruan,34.95,25.54
Sidoarjo,61.69,53.91
Mojokerto,41.69,34.45
Jombang,37.82,33.75
Nganjuk,33,25.36
Madiun,35.26,27.57
Magetan,39.76,31.73
